observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
EM11400itkfi,2882345,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,136,,"11,1",,"76,2",,"99,3",,"81,9",,"2,5",,,,,
DI11014itkt,2882389,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,treated,2014,98,,140,,"9,2",,"81,2",,"112,1",,"107,1",,,,,,,
DI11014itknt,2882388,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,102,,140,,,,"78,7",,"99,3",,"80,1",,3,,4,,1,
DI11014itkfi,2882387,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,100,,140,,"10,3",,"77,5",,"97,3",,"80,3",,"5,5",,,,,
DI12004itknt,2882328,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,92,,142,,,,79,,"99,1",,"79,9",,"1,5",,3,,1,
DI12004itkfi,2882327,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,95,,140,,"10,9",,"78,4",,"104,3",,"86,1",,"1,5",,,,,
DI12004itkt,2882329,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,treated,2014,92,,141,,"10,2",,"81,5",,"106,6",,"101,7",,,,,,,
Bermudeitkfi,2882309,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,92,,140,,"10,3",,"79,8",,"97,2",,"80,2",,1,,,,,
Bermudeitkt,2882311,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2014,90,,140,,10,,81,,"97,8",,"93,4",,,,,,,
Bermudeitknt,2882310,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,92,,140,,,,"79,2",,"92,4",,"74,5",,1,,"5,5",,1,
Arezzoitkt,2882287,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,treated,2014,90,,126,,"10,6",,"83,1",,"96,6",,"92,3",,,,,,,
Arezzoitknt,2882286,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,92,,128,,,,"80,1",,"117,4",,"94,6",,1,,6,,1,
Arezzoitkfi,2882285,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,95,,125,,"10,4",,"80,3",,"109,8",,"90,6",,1,,,,,
AO12014itkt,2882317,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,treated,2014,92,,136,,"8,9",,"79,7",,"110,1",,"105,1",,,,,,,
AO12014itkfi,2882315,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,92,,137,,"11,9",,"64,8",,"47,4",,"39,1",,9,,,,,
AO12014itknt,2882316,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,92,,136,,,,"67,2",,"56,9",,"45,9",,"8,5",,NA,,"1,5",
AO12021-2itkt,2882344,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48626,https://doi.org/10.15454/QXYFWH,AO12021-2,VIRTUAL_TRIAL,,,,,,,,treated,2014,100,,138,,"10,1",,"80,2",,"106,9",,"102,1",,,,,,,
AO12021-2itknt,2882343,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48626,https://doi.org/10.15454/QXYFWH,AO12021-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,105,,136,,,,"78,5",,105,,"84,7",,1,,3,,1,
AO12021-2itkfi,2882342,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48626,https://doi.org/10.15454/QXYFWH,AO12021-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,105,,136,,"10,1",,"79,4",,"115,9",,"95,6",,1,,,,,
AO13030itkfi,2882360,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,92,,126,,"10,4",,"74,2",,"108,4",,"89,4",,3,,,,,
AO13030itkt,2882362,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,treated,2014,85,,129,,"9,8",,78,,"98,7",,"94,3",,,,,,,
AO13030itknt,2882361,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,90,,126,,,,"75,2",,"101,7",,82,,"2,5",,8,,1,
AO13047itkfi,2882321,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,100,,138,,"10,2",,"79,9",,114,,94,,"3,5",,,,,
AO13047itkt,2882323,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,treated,2014,95,,140,,"9,6",,"81,2",,"116,3",,111,,,,,,,
AO13047itknt,2882322,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,100,,139,,,,"79,1",,"113,1",,"91,2",,"2,5",,3,,1,
