observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,Drought,season,AwnLength(WIPO:0000273),AwnLength(WIPO:0000273).date,AwnRoughness(WIPO:0000274),AwnRoughness(WIPO:0000274).date,FruitingEfficiency(WIPO:0000277),FruitingEfficiency(WIPO:0000277).date,GrainWeight(CO_321:1000177),GrainWeight(CO_321:1000177).date,Heading(CO_321:1000036),Heading(CO_321:1000036).date,Height(CO_321:1000218),Height(CO_321:1000218).date,PeduncleLength(WIPO:0000278),PeduncleLength(WIPO:0000278).date,PlantEstablishment(WIPO:0000272),PlantEstablishment(WIPO:0000272).date,SpikeLength(CO_321:1000079),SpikeLength(CO_321:1000079).date
ww-215BLOCK3PLOT6,3033416,WW5,Wheat_Winter_TUR,48303,https://doi.org/10.15454/TETUUR,PASHMAK,VIRTUAL_TRIAL,,,,,5,20,,Irrigated,2015,"2,4",,"1,2",,"0,7",,"35,867768595",,196,2015-05-27T02:00:00Z,"107,5",,31,,2,,"13,1",
ww-215BLOCK9PLOT16,3033698,WW5,Wheat_Winter_TUR,48303,https://doi.org/10.15454/TETUUR,PASHMAK,VIRTUAL_TRIAL,,,,,7,40,,Irrigated,2015,"3,1",,"1,2",,"0,6846846847",,"33,0434782609",,191,2015-05-22T02:00:00Z,108,,34,,1,,"10,6",
ww-216BLOCK5PLOT17,3032553,WW5,Wheat_Winter_TUR,48249,https://doi.org/10.15454/CKMZAS,VIR35030,VIRTUAL_TRIAL,,,,,10,3,,Rainfed,2015,"3,625",,"1,2",,"0,4376321353",,"27,6",,196,2015-05-27T02:00:00Z,125,,34,,2,2014-11-12T01:00:00Z,"8,125",
ww-216BLOCK2PLOT1,3033272,WW5,Wheat_Winter_TUR,48249,https://doi.org/10.15454/CKMZAS,VIR35030,VIRTUAL_TRIAL,,,,,1,10,,Irrigated,2015,"5,25",,"2,3",,"0,7516188714",,"46,1647727273",,196,2015-05-27T02:00:00Z,"113,5",,"40,5",,2,,"10,4",
ww-217BLOCK6PLOT58,3032765,WW5,Wheat_Winter_TUR,48250,https://doi.org/10.15454/EIOKP1,VIR35539,VIRTUAL_TRIAL,,,,,12,18,,Rainfed,2015,"3,125",,"2,3",,"0,8740310078",,"43,3653846154",,42145,2015-05-23T02:00:00Z,128,,27,,2,2014-11-12T01:00:00Z,"8,125",
ww-217BLOCK6PLOT36,3033352,WW5,Wheat_Winter_TUR,48250,https://doi.org/10.15454/EIOKP1,VIR35539,VIRTUAL_TRIAL,,,,,11,15,,Irrigated,2015,"4,6",,"2,3",,"0,7522321429",,"46,376146789",,192,2015-05-23T02:00:00Z,110,,26,,1,,"11,1",
ww-222BLOCK9PLOT27,3033093,WW5,Wheat_Winter_TUR,48251,https://doi.org/10.15454/FRDQ5O,VIR46301,VIRTUAL_TRIAL,,,,,4,42,,Rainfed,2015,"0,5",,1,,"0,6545012165",,"39,2700729927",,42146,2015-05-24T02:00:00Z,118,,31,,1,2014-11-12T01:00:00Z,"8,1",
ww-222BLOCK7PLOT44,3032873,WW5,Wheat_Winter_TUR,48251,https://doi.org/10.15454/FRDQ5O,VIR46301,VIRTUAL_TRIAL,,,,,8,26,,Rainfed,2015,,,,,"0,6928895613",,"44,4660194175",,42148,2015-05-24T02:00:00Z,102,,35,,2,2014-11-12T01:00:00Z,"7,875",
ww-222BLOCK2PLOT42,3033358,WW5,Wheat_Winter_TUR,48251,https://doi.org/10.15454/FRDQ5O,VIR46301,VIRTUAL_TRIAL,,,,,3,16,,Irrigated,2015,,,,,"0,6934900542",,"41,6847826087",,188,2015-05-19T02:00:00Z,"84,5",,"19,5",,1,,"8,9",
ww-227BLOCK6PLOT16,3032681,WW5,Wheat_Winter_TUR,48260,https://doi.org/10.15454/4ARYXV,TR 183,VIRTUAL_TRIAL,,,,,12,12,,Rainfed,2015,"3,8",,"1,2",,"0,6803571429",,"42,808988764",,42143,2015-05-21T02:00:00Z,"96,5",,30,,2,2014-11-12T01:00:00Z,"6,2",
ww-227BLOCK3PLOT57,3033516,WW5,Wheat_Winter_TUR,48260,https://doi.org/10.15454/4ARYXV,TR 183,VIRTUAL_TRIAL,,,,,7,27,,Irrigated,2015,"3,65",,"1,2",,"0,6939586645",,"43,65",,192,2015-05-23T02:00:00Z,103,,"45,5",,1,,"8,9",
ww-227BLOCK10PLOT28,3033731,WW5,Wheat_Winter_TUR,48260,https://doi.org/10.15454/4ARYXV,TR 183,VIRTUAL_TRIAL,,,,,12,42,,Irrigated,2015,"3,25",,1,,"0,6338273758",,"42,2674418605",,187,2015-05-18T02:00:00Z,93,,35,,1,,"8,4",
ww-242BLOCK2PLOT8,3032659,WW5,Wheat_Winter_TUR,48310,https://doi.org/10.15454/SBOEPI,TRI 7258,VIRTUAL_TRIAL,,,,,4,11,,Rainfed,2015,"4,25",,"1,2",,"0,4680851064",,"36,6666666667",,42163,2015-06-10T02:00:00Z,"84,5",,10,,2,2014-11-12T01:00:00Z,"7,5",
ww-242BLOCK1PLOT40,3033220,WW5,Wheat_Winter_TUR,48310,https://doi.org/10.15454/SBOEPI,TRI 7258,VIRTUAL_TRIAL,,,,,5,6,,Irrigated,2015,"3,4",,"2,3",,"0,154503616",,"10,2173913043",,200,2015-05-31T02:00:00Z,85,,30,,2,,"7,3",
ww-245BLOCK5PLOT10,3032539,WW5,Wheat_Winter_TUR,48325,https://doi.org/10.15454/DE7DDW,DIC169,VIRTUAL_TRIAL,,,,,10,2,,Rainfed,2015,"6,8",,"2,3",,"0,702724359",,"45,4404145078",,195,2015-05-26T02:00:00Z,"65,5",,40,,1,2014-11-12T01:00:00Z,"7,2",
ww-245BLOCK4PLOT48,3033636,WW5,Wheat_Winter_TUR,48325,https://doi.org/10.15454/DE7DDW,DIC169,VIRTUAL_TRIAL,,,,,1,36,,Irrigated,2015,7,,"2,3",,"0,6950904393",,"42,6984126984",,193,2015-05-24T02:00:00Z,"60,5",,"35,5",,1,,"6,7",
ww-259BLOCK3PLOT52,3032881,WW5,Wheat_Winter_TUR,48322,https://doi.org/10.15454/AN99YM,ARBEL 05 MAY 2008,VIRTUAL_TRIAL,,,,,2,27,,Rainfed,2015,"3,5",,,,"0,4131455399",,"31,4285714286",,42148,2015-05-24T02:00:00Z,"91,5",,22,,2,2014-11-12T01:00:00Z,9,
ww-259BLOCK7PLOT21,3033452,WW5,Wheat_Winter_TUR,48322,https://doi.org/10.15454/AN99YM,ARBEL 05 MAY 2008,VIRTUAL_TRIAL,,,,,13,22,,Irrigated,2015,"2,9",,"1,2",,"0,7011235955",,30,,187,2015-05-18T02:00:00Z,81,,"32,5",,2,,"7,8",
ww-278BLOCK6PLOT61,3032776,WW5,Wheat_Winter_TUR,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,9,19,,Rainfed,2015,"0,5",,1,,"0,6714876033",,"40,1234567901",,42154,2015-06-01T02:00:00Z,67,,18,,2,2014-11-12T01:00:00Z,"8,7",
ww-278BLOCK8PLOT36,3033617,WW5,Wheat_Winter_TUR,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,10,34,,Irrigated,2015,,,,,"0,7437694704",,"30,9061488673",,194,2015-05-25T02:00:00Z,"59,5",,22,,2,,"9,8",
ww-284BLOCK9PLOT22,3033081,WW5,Wheat_Winter_TUR,21903,https://doi.org/10.15454/NOSQED,ANDES-56,VIRTUAL_TRIAL,,,,,6,41,,Rainfed,2015,,,,,"0,7172413793",,"51,0429447853",,42146,2015-05-24T02:00:00Z,117,,36,,1,2014-11-12T01:00:00Z,"8,1",
ww-284BLOCK4PLOT61,3033026,WW5,Wheat_Winter_TUR,21903,https://doi.org/10.15454/NOSQED,ANDES-56,VIRTUAL_TRIAL,,,,,7,37,,Rainfed,2015,,,,,"0,6646126761",,"41,2568306011",,42143,2015-05-21T02:00:00Z,"102,5",,38,,2,2014-11-12T01:00:00Z,"7,4",
ww-284BLOCK2PLOT23,3033318,WW5,Wheat_Winter_TUR,21903,https://doi.org/10.15454/NOSQED,ANDES-56,VIRTUAL_TRIAL,,,,,5,13,,Irrigated,2015,,,,,"0,7640692641",,"42,36",,186,2015-05-17T02:00:00Z,100,,"42,5",,1,,"7,5",
ww-286BLOCK2PLOT6,3032657,WW5,Wheat_Winter_TUR,21944,https://doi.org/10.15454/451GMJ,ARKAS,VIRTUAL_TRIAL,,,,,2,11,,Rainfed,2015,"0,5",,1,,"0,777268561",,"40,5741626794",,42146,2015-05-24T02:00:00Z,"92,5",,27,,2,2014-11-12T01:00:00Z,"7,4",
ww-286BLOCK8PLOT50,3033645,WW5,Wheat_Winter_TUR,21944,https://doi.org/10.15454/451GMJ,ARKAS,VIRTUAL_TRIAL,,,,,10,36,,Irrigated,2015,,,1,,"0,7565424266",,"40,9442060086",,193,2015-05-24T02:00:00Z,79,,32,,1,,8,
ww-304BLOCK10PLOT34,3033114,WW5,Wheat_Winter_TUR,25045,https://doi.org/10.15454/5C1HEY,NAVARRO 150,VIRTUAL_TRIAL,,,,,11,43,,Rainfed,,,,,,,,,,,,,,,,,,,
ww-304BLOCK1PLOT45,3032602,WW5,Wheat_Winter_TUR,25045,https://doi.org/10.15454/5C1HEY,NAVARRO 150,VIRTUAL_TRIAL,,,,,3,7,,Rainfed,2015,"0,5",,1,,"0,7227467811",,"41,0731707317",,194,2015-05-25T02:00:00Z,90,,18,,2,2014-11-12T01:00:00Z,"5,1",
ww-304BLOCK8PLOT66,3033677,WW5,Wheat_Winter_TUR,25045,https://doi.org/10.15454/5C1HEY,NAVARRO 150,VIRTUAL_TRIAL,,,,,14,38,,Irrigated,2015,"3,65",,"2,3",,"0,6504360465",,"41,4351851852",,192,2015-05-23T02:00:00Z,"63,5",,19,,1,,"11,1",
ww-306BLOCK3PLOT45,3032867,WW5,Wheat_Winter_TUR,25617,https://doi.org/10.15454/IKN76O,ORFIELD,VIRTUAL_TRIAL,,,,,2,26,,Rainfed,2015,"0,55",,1,,"0,5510923185",,"33,8528138528",,42158,2015-06-03T02:00:00Z,65,,19,,2,2014-11-12T01:00:00Z,"10,5",
ww-306BLOCK8PLOT23,3033590,WW5,Wheat_Winter_TUR,25617,https://doi.org/10.15454/IKN76O,ORFIELD,VIRTUAL_TRIAL,,,,,11,32,,Irrigated,2015,,,,,"0,7449464923",,"37,8549848943",,196,2015-05-27T02:00:00Z,"71,5",,20,,2,,"10,8",
ww-306BLOCK9PLOT4,3033679,WW5,Wheat_Winter_TUR,25617,https://doi.org/10.15454/IKN76O,ORFIELD,VIRTUAL_TRIAL,,,,,2,39,,Irrigated,2015,,,,,"0,7535612536",,"34,3506493506",,200,2015-05-31T02:00:00Z,"76,5",,"18,5",,2,,"11,5",
ww-313BLOCK3PLOT32,3032840,WW5,Wheat_Winter_TUR,21769,https://doi.org/10.15454/SZ9SBC,60293,VIRTUAL_TRIAL,,,,,3,24,,Rainfed,2015,,,,,"0,7549441101",,"43,9",,42152,2015-05-30T02:00:00Z,99,,30,,2,2014-11-12T01:00:00Z,"9,01",
ww-313BLOCK8PLOT21,3033588,WW5,Wheat_Winter_TUR,21769,https://doi.org/10.15454/SZ9SBC,60293,VIRTUAL_TRIAL,,,,,9,32,,Irrigated,2015,,,,,"0,7193287037",,"44,5519713262",,195,2015-05-26T02:00:00Z,86,,28,,1,,"11,9",
ww-313BLOCK9PLOT17,3033076,WW5,Wheat_Winter_TUR,21769,https://doi.org/10.15454/SZ9SBC,60293,VIRTUAL_TRIAL,,,,,1,41,,Rainfed,2015,,,,,"0,7622180451",,"40,1485148515",,42149,2015-05-27T02:00:00Z,97,,28,,2,2014-11-12T01:00:00Z,"9,1",
ww-318BLOCK1PLOT1,3033146,WW5,Wheat_Winter_TUR,21865,https://doi.org/10.15454/SZFE57,AIFENG-4,VIRTUAL_TRIAL,,,,,1,1,,Irrigated,2015,"2,9",,"2,3",,"0,7363437728",,"34,2711864407",,186,2015-05-17T02:00:00Z,51,,19,,1,,"9,2",
ww-318BLOCK9PLOT2,3033035,WW5,Wheat_Winter_TUR,21865,https://doi.org/10.15454/SZFE57,AIFENG-4,VIRTUAL_TRIAL,,,,,2,38,,Rainfed,2015,"3,375",,"2,3",,"0,709762533",,"45,2100840336",,42146,2015-05-24T02:00:00Z,77,,23,,2,2014-11-12T01:00:00Z,"7,5",
ww-318BLOCK4PLOT46,3032997,WW5,Wheat_Winter_TUR,21865,https://doi.org/10.15454/SZFE57,AIFENG-4,VIRTUAL_TRIAL,,,,,6,35,,Rainfed,2015,"2,9",,"2,3",,"0,6738410596",,"45,2222222222",,42146,2015-05-23T02:00:00Z,"68,5",,25,,2,2014-11-12T01:00:00Z,"8,4",
ww-331BLOCK8PLOT61,3033033,WW5,Wheat_Winter_TUR,22091,https://doi.org/10.15454/PT4OLY,BERZATACA,VIRTUAL_TRIAL,,,,,14,37,,Rainfed,2015,,,"2,3",,"0,6450567261",,"30,6153846154",,42152,2015-05-30T02:00:00Z,100,,36,,2,2014-11-12T01:00:00Z,"8,8",
ww-331BLOCK5PLOT27,3033200,WW5,Wheat_Winter_TUR,22091,https://doi.org/10.15454/PT4OLY,BERZATACA,VIRTUAL_TRIAL,,,,,13,4,,Irrigated,2015,"4,9",,"2,3",,"0,7049518569",,"47,0183486239",,194,2015-05-25T02:00:00Z,"115,5",,35,,1,,"13,3",
ww-331BLOCK10PLOT16,3033705,WW5,Wheat_Winter_TUR,22091,https://doi.org/10.15454/PT4OLY,BERZATACA,VIRTUAL_TRIAL,,,,,14,40,,Irrigated,2015,,,,,"0,7173756309",,"28,591954023",,195,2015-05-26T02:00:00Z,103,,"37,5",,1,,"10,6",
ww-334BLOCK1PLOT32,3032575,WW5,Wheat_Winter_TUR,22174,https://doi.org/10.15454/KE3YRC,BLONDYNKA,VIRTUAL_TRIAL,,,,,4,5,,Rainfed,2015,"4,0625",,"2,3",,"0,6678876679",,"37,9861111111",,203,2015-06-03T02:00:00Z,106,,24,,2,2014-11-12T01:00:00Z,"9,125",
ww-334BLOCK3PLOT60,3033526,WW5,Wheat_Winter_TUR,22174,https://doi.org/10.15454/KE3YRC,BLONDYNKA,VIRTUAL_TRIAL,,,,,3,28,,Irrigated,2015,"2,95",,"2,3",,"0,6995175741",,"38,1578947368",,196,2015-05-27T02:00:00Z,112,,30,,1,,"10,1",
ww-335BLOCK2PLOT50,3032743,WW5,Wheat_Winter_TUR,22175,https://doi.org/10.15454/C7V5J6,BLUEBOY,VIRTUAL_TRIAL,,,,,4,17,,Rainfed,2015,"0,9",,"1,2",,"0,6882640587",,"32,5433526012",,42155,2015-06-02T02:00:00Z,"87,5",,22,,2,2014-11-12T01:00:00Z,"8,4",
ww-335BLOCK2PLOT7,3033288,WW5,Wheat_Winter_TUR,22175,https://doi.org/10.15454/C7V5J6,BLUEBOY,VIRTUAL_TRIAL,,,,,3,11,,Irrigated,2015,,,,,"0,7283702213",,"31,7543859649",,196,2015-05-27T02:00:00Z,82,,25,,1,,"9,5",
ww-335BLOCK10PLOT23,3033719,WW5,Wheat_Winter_TUR,22175,https://doi.org/10.15454/C7V5J6,BLUEBOY,VIRTUAL_TRIAL,,,,,14,41,,Irrigated,2015,"3,5",,"2,3",,"0,644245142",,"39,9074074074",,195,2015-05-26T02:00:00Z,77,,29,,1,,"12,2",
ww-262BLOCK9PLOT19,3033078,WW5,Wheat_Winter_TUR,48326,https://doi.org/10.15454/ITVRXF,DIC193,VIRTUAL_TRIAL,,,,,3,41,,Rainfed,2015,9,,"2,3",,"0,592746114",,"56,0784313725",,42145,2015-05-23T02:00:00Z,"116,5",,17,,1,2014-11-12T01:00:00Z,"7,875",
ww-262BLOCK1PLOT37,3032587,WW5,Wheat_Winter_TUR,48326,https://doi.org/10.15454/ITVRXF,DIC193,VIRTUAL_TRIAL,,,,,2,6,,Rainfed,2015,,,,,,,,,197,2015-05-28T02:00:00Z,95,,21,,1,2014-11-12T01:00:00Z,,
ww-262BLOCK3PLOT15,3033432,WW5,Wheat_Winter_TUR,48326,https://doi.org/10.15454/ITVRXF,DIC193,VIRTUAL_TRIAL,,,,,7,21,,Irrigated,2015,"8,15",,"1,2",,"0,6204922725",,"56,4583333333",,193,2015-05-24T02:00:00Z,128,,49,,1,,"8,4",
ww-267BLOCK1PLOT42,3032592,WW5,Wheat_Winter_TUR,48266,https://doi.org/10.15454/W8B6TQ,PI 362071,VIRTUAL_TRIAL,,,,,7,6,,Rainfed,2015,"6,2",,"2,3",,"0,4920318725",,"34,5382087674",,210,2015-06-10T02:00:00Z,85,,15,,2,2014-11-12T01:00:00Z,"16,3",
ww-267BLOCK7PLOT42,3033494,WW5,Wheat_Winter_TUR,48266,https://doi.org/10.15454/W8B6TQ,PI 362071,VIRTUAL_TRIAL,,,,,13,25,,Irrigated,2015,,,,,,,,,197,2015-05-28T02:00:00Z,"108,5",,40,,1,,,
ww-275BLOCK3PLOT38,3032853,WW5,Wheat_Winter_TUR,48331,https://doi.org/10.15454/8GEING,TRI 7818,VIRTUAL_TRIAL,,,,,2,25,,Rainfed,2015,"4,8",,"2,3",,"0,7210401891",,"40,3973509934",,42154,2015-05-30T02:00:00Z,90,,21,,2,2014-11-12T01:00:00Z,"8,9",
ww-275BLOCK1PLOT50,3033244,WW5,Wheat_Winter_TUR,48331,https://doi.org/10.15454/8GEING,TRI 7818,VIRTUAL_TRIAL,,,,,1,8,,Irrigated,2015,"4,4",,"2,3",,"0,7530981888",,"41,5789473684",,196,2015-05-27T02:00:00Z,95,,35,,2,,"10,7",
ww-337BLOCK7PLOT1,3032775,WW5,Wheat_Winter_TUR,22219,https://doi.org/10.15454/VGX7C2,SOLTANE,VIRTUAL_TRIAL,,,,,8,19,,Rainfed,2015,"1,6666666667",,"1,2",,"0,7791164659",,"45,1162790698",,42146,2015-05-24T02:00:00Z,"98,5",,30,,2,2014-11-12T01:00:00Z,"7,8333333333",
ww-337BLOCK3PLOT46,3033498,WW5,Wheat_Winter_TUR,22219,https://doi.org/10.15454/VGX7C2,SOLTANE,VIRTUAL_TRIAL,,,,,3,26,,Irrigated,2015,"3,6",,"2,3",,"0,6578249337",,"40,8791208791",,187,2015-05-18T02:00:00Z,"76,5",,21,,1,,"8,7",
ww-341BLOCK1PLOT44,3032601,WW5,Wheat_Winter_TUR,22509,https://doi.org/10.15454/N9D2MY,COPPADRA,VIRTUAL_TRIAL,,,,,2,7,,Rainfed,2015,"3,1666666667",,"2,3",,"0,7272727273",,"54,4927536232",,210,2015-06-10T02:00:00Z,88,,16,,2,2014-11-12T01:00:00Z,"8,8333333333",
ww-341BLOCK1PLOT62,3033263,WW5,Wheat_Winter_TUR,22509,https://doi.org/10.15454/N9D2MY,COPPADRA,VIRTUAL_TRIAL,,,,,6,9,,Irrigated,2015,,,1,,"0,711026616",,"47,6433121019",,200,2015-05-31T02:00:00Z,97,,"42,5",,1,,"11,9",
ww-345BLOCK5PLOT13,3032542,WW5,Wheat_Winter_TUR,22552,https://doi.org/10.15454/UKWYBA,D130-63,VIRTUAL_TRIAL,,,,,13,2,,Rainfed,2015,,,,,,,,,202,2015-06-02T02:00:00Z,106,,22,,2,2014-11-12T01:00:00Z,,
ww-345BLOCK5PLOT62,3033270,WW5,Wheat_Winter_TUR,22552,https://doi.org/10.15454/UKWYBA,D130-63,VIRTUAL_TRIAL,,,,,13,9,,Irrigated,2015,"3,7",,"2,3",,"0,8076923077",,"48,8571428571",,195,2015-05-26T02:00:00Z,103,,"38,5",,1,,"9,9",
ww-350BLOCK2PLOT44,3032730,WW5,Wheat_Winter_TUR,22674,https://doi.org/10.15454/LH6GHM,DNEPROVSKAIA,VIRTUAL_TRIAL,,,,,5,16,,Rainfed,2015,"0,5",,1,,"0,6632653061",,"47,3958333333",,42145,2015-05-23T02:00:00Z,101,,29,,2,2014-11-12T01:00:00Z,"9,1",
ww-350BLOCK7PLOT7,3033424,WW5,Wheat_Winter_TUR,22674,https://doi.org/10.15454/LH6GHM,DNEPROVSKAIA,VIRTUAL_TRIAL,,,,,13,20,,Irrigated,2015,"4,65",,"2,3",,"0,7905282332",,"35,2845528455",,192,2015-05-23T02:00:00Z,79,,23,,1,,"9,3",
ww-356BLOCK7PLOT45,3032874,WW5,Wheat_Winter_TUR,22828,https://doi.org/10.15454/V9KYXU,FLAMURA-85,VIRTUAL_TRIAL,,,,,9,26,,Rainfed,2015,"2,45",,"2,3",,"0,7912801484",,"47,9213483146",,42148,2015-05-24T02:00:00Z,"92,5",,28,,2,2014-11-12T01:00:00Z,"8,3",
ww-356BLOCK1PLOT9,3033161,WW5,Wheat_Winter_TUR,22828,https://doi.org/10.15454/V9KYXU,FLAMURA-85,VIRTUAL_TRIAL,,,,,2,2,,Irrigated,2015,"2,85",,"2,3",,"0,7789156627",,"42,5328947368",,191,2015-05-22T02:00:00Z,"71,5",,15,,2,,"9,9",
ww-358BLOCK6PLOT33,3032719,WW5,Wheat_Winter_TUR,22883,https://doi.org/10.15454/YMS2YE,FUKUHOKOMUGI,VIRTUAL_TRIAL,,,,,8,15,,Rainfed,2015,"1,6666666667",,"1,2",,"0,7791164659",,"45,1162790698",,42143,2015-05-21T02:00:00Z,"92,5",,45,,2,2014-11-12T01:00:00Z,"7,8333333333",
ww-358BLOCK7PLOT62,3033535,WW5,Wheat_Winter_TUR,22883,https://doi.org/10.15454/YMS2YE,FUKUHOKOMUGI,VIRTUAL_TRIAL,,,,,12,28,,Irrigated,2015,"2,25",,"1,2",,"0,7848699764",,"39,6812749004",,186,2015-05-17T02:00:00Z,"70,5",,20,,1,,"8,8",
ww-358BLOCK9PLOT25,3033721,WW5,Wheat_Winter_TUR,22883,https://doi.org/10.15454/YMS2YE,FUKUHOKOMUGI,VIRTUAL_TRIAL,,,,,2,42,,Irrigated,2015,"3,6",,"1,2",,"0,7769360269",,"37,2177419355",,186,2015-05-17T02:00:00Z,"68,5",,"23,5",,1,,9,
ww-363BLOCK4PLOT60,3033025,WW5,Wheat_Winter_TUR,22980,https://doi.org/10.15454/R3AHM5,GODOLLOI 15,VIRTUAL_TRIAL,,,,,6,37,,Rainfed,2015,"4,1",,"2,3",,"0,7203742204",,"39,1525423729",,42142,2015-05-20T02:00:00Z,"121,5",,32,,2,2014-11-12T01:00:00Z,"8,8",
ww-363BLOCK8PLOT19,3033579,WW5,Wheat_Winter_TUR,22980,https://doi.org/10.15454/R3AHM5,GODOLLOI 15,VIRTUAL_TRIAL,,,,,14,31,,Irrigated,2015,"7,25",,"2,3",,"0,717376134",,"51,6582914573",,186,2015-05-17T02:00:00Z,95,,32,,1,,"6,5",
ww-378BLOCK7PLOT40,3032862,WW5,Wheat_Winter_TUR,23299,https://doi.org/10.15454/I4TFJW,KOLBEN 3,VIRTUAL_TRIAL,,,,,11,25,,Rainfed,2015,,,,,"0,7292461832",,"37,326007326",,42145,2015-05-21T02:00:00Z,128,,40,,2,2014-11-12T01:00:00Z,"9,4",
ww-378BLOCK1PLOT11,3033163,WW5,Wheat_Winter_TUR,23299,https://doi.org/10.15454/I4TFJW,KOLBEN 3,VIRTUAL_TRIAL,,,,,4,2,,Irrigated,2015,,,,,"0,749665328",,"34,7826086957",,186,2015-05-17T02:00:00Z,99,,27,,1,,"11,5",
ww-378BLOCK10PLOT45,3033769,WW5,Wheat_Winter_TUR,23299,https://doi.org/10.15454/I4TFJW,KOLBEN 3,VIRTUAL_TRIAL,,,,,8,45,,Irrigated,2015,,,,,"0,7572139303",,"34,9082568807",,195,2015-05-26T02:00:00Z,"99,5",,38,,1,,"9,8",
ww-382BLOCK10PLOT42,3033129,WW5,Wheat_Winter_TUR,23391,https://doi.org/10.15454/EGRGJ6,LONTOI,VIRTUAL_TRIAL,,,,,12,44,,Rainfed,2015,"3,75",,"2,3",,"3,8205546493",,"166,0992907801",,42150,2015-05-26T02:00:00Z,103,,20,,2,2014-11-12T01:00:00Z,8,
ww-382BLOCK4PLOT9,3032925,WW5,Wheat_Winter_TUR,23391,https://doi.org/10.15454/EGRGJ6,LONTOI,VIRTUAL_TRIAL,,,,,4,30,,Rainfed,2015,"4,1",,"2,3",,"0,6939799331",,"35,1694915254",,42154,2015-05-31T02:00:00Z,"87,5",,13,,2,2014-11-12T01:00:00Z,"7,7",
ww-382BLOCK3PLOT36,3033474,WW5,Wheat_Winter_TUR,23391,https://doi.org/10.15454/EGRGJ6,LONTOI,VIRTUAL_TRIAL,,,,,7,24,,Irrigated,2015,"4,25",,"2,3",,"0,7364341085",,"35,4037267081",,196,2015-05-27T02:00:00Z,"102,5",,"32,5",,2,,"8,2",
ww-385BLOCK2PLOT66,3032774,WW5,Wheat_Winter_TUR,23454,https://doi.org/10.15454/PNWZDT,MALGORZATKA UDYCKA,VIRTUAL_TRIAL,,,,,7,19,,Rainfed,2015,"3,85",,"2,3",,"0,6971904266",,"45,5782312925",,42157,2015-06-04T02:00:00Z,"106,5",,17,,2,2014-11-12T01:00:00Z,"9,3",
ww-385BLOCK2PLOT18,3033306,WW5,Wheat_Winter_TUR,23454,https://doi.org/10.15454/PNWZDT,MALGORZATKA UDYCKA,VIRTUAL_TRIAL,,,,,7,12,,Irrigated,2015,4,,"2,3",,"0,6991253644",,"47,3913043478",,196,2015-05-27T02:00:00Z,102,,41,,1,,"9,5",
ww-385BLOCK9PLOT20,3033709,WW5,Wheat_Winter_TUR,23454,https://doi.org/10.15454/PNWZDT,MALGORZATKA UDYCKA,VIRTUAL_TRIAL,,,,,4,41,,Irrigated,2015,"3,85",,"2,3",,"0,7571865443",,"51,5833333333",,197,2015-05-28T02:00:00Z,112,,"41,5",,2,,"10,1",
ww-387BLOCK7PLOT18,3032819,WW5,Wheat_Winter_TUR,23515,https://doi.org/10.15454/0E7LF9,MASTER,VIRTUAL_TRIAL,,,,,10,22,,Rainfed,2015,"0,5",,1,,"0,6986685354",,"44,3111111111",,42151,2015-05-29T02:00:00Z,"82,5",,24,,2,2014-11-12T01:00:00Z,"8,7",
ww-387BLOCK4PLOT2,3033539,WW5,Wheat_Winter_TUR,23515,https://doi.org/10.15454/0E7LF9,MASTER,VIRTUAL_TRIAL,,,,,2,29,,Irrigated,2015,,,,,"0,7650933041",,"38,8300835655",,196,2015-05-27T02:00:00Z,73,,22,,1,,"11,9",
ww-390BLOCK4PLOT64,3033038,WW5,Wheat_Winter_TUR,23532,https://doi.org/10.15454/XBRA8Q,MEIRA,VIRTUAL_TRIAL,,,,,5,38,,Rainfed,2015,"4,05",,"2,3",,"0,5765086207",,"42,8",,42156,2015-06-03T02:00:00Z,"105,5",,26,,2,2014-11-12T01:00:00Z,"8,5",
ww-390BLOCK5PLOT36,3033223,WW5,Wheat_Winter_TUR,23532,https://doi.org/10.15454/XBRA8Q,MEIRA,VIRTUAL_TRIAL,,,,,8,6,,Irrigated,2015,"3,7",,"2,3",,"0,6788141994",,"41,6087962963",,200,2015-05-31T02:00:00Z,"114,5",,"34,5",,2,,"10,6",
ww-390BLOCK10PLOT48,3033772,WW5,Wheat_Winter_TUR,23532,https://doi.org/10.15454/XBRA8Q,MEIRA,VIRTUAL_TRIAL,,,,,11,45,,Irrigated,2015,4,,"2,3",,"0,6678321678",,"46,5853658537",,193,2015-05-24T02:00:00Z,"105,5",,34,,1,,"10,1",
ww-393BLOCK9PLOT6,3033051,WW5,Wheat_Winter_TUR,23585,https://doi.org/10.15454/VXMACR,MISHRAGANI,VIRTUAL_TRIAL,,,,,4,39,,Rainfed,2015,"3,7916666667",,"2,3",,"0,7213779129",,"50,4964539007",,42146,2015-05-24T02:00:00Z,"88,5",,35,,1,2014-11-12T01:00:00Z,"10,5",
