id,name,class,description,formula,reference
0000690,Double digit Estimation,EstimationMethod,"The method was improved by using two digits, representing the vertical disease progress and an estimate of severity. The first digit gives the relative height of the disease using the original 0-9 Saari-Prescott scale as a measure. The second digit shows the disease severity as a percentage but in terms of 0-9. Because it is difficult to evaluate diseases on dead leaves, disease notes should be taken when at least four leaves are still alive and green (soft to mid-dough growth stage). Then visually evaluate the average percentage severity on only those leaves of the uppermost four that are infected. In practice, the percent severity is estimated on an overall score. The following format is used for scoring severity: 10% coverage = 1, 20% coverage = 2, 30% coverage = 3, 40% coverage = 4, 50% coverage = 5, 60% coverage = 6, 70% coverage = 7, 80% coverage = 8, 90% coverage = 9. The score of 10 is not used.",,"Duveiller et al., 1998, Saari and Prescott, 1975, Eyal et al., 1987,  Duveiller et al., 2012"
0000696,FHBAUDPC Computation,ComputationMethod,Calculate area under disease progress curve.,xxxx,"Duveiller et al., 2012"
0000698,FHBDON Measurement,MeasurementMethod,Standard method for content of deoxynivalenol or DON (vomitoxin) that is often associated with FHB (Fusarium spp.) infected grains.,,
0000699,FHBGInc Estimation,EstimationMethod,Standard method for FHB grain incidence.,,"Duveiller et al., 2012"
0000294,FHBSpkInc Estimation,EstimationMethod,Standard method for FHB spike incidence.,,"Duveiller et al., 2012"
0000294,FHBSpkInc Estimation,EstimationMethod,Standard method for FHB spike incidence.,,"Duveiller et al., 2012"
0000322,FHBSpkResp Estimation,EstimationMethod,Standard method for FHB spike response.,,"Duveiller et al., 2012"
0000322,FHBSpkResp Estimation,EstimationMethod,Standard method for FHB spike response.,,"Duveiller et al., 2012"
0000700,FHBSpkWt Computation,ComputationMethod,Relative spike weight is calculated by dividing spike weight (at maturity) from infected by the non-infected.,xxxx,"Duveiller et al., 2012"
0000373,FHBSplInc Computation,ComputationMethod,"Calculated as the index (ratio) of infected spikelets over total number of spikelets by Calonectria nivalis (Fusarium nivale, F. graminearum) causing scab disease in spike.",xxxx,"Duveiller et al., 2012"
0000374,FHBSplInc Counting,CountingMethod,Standard method for FHB infected spikelets counting.,,"Duveiller et al., 2012"
0000339,FnivLBInc Estimation,EstimationMethod,Standard method for Fusarium leaf blotch incidence.,,"Duveiller et al., 2014"
0000339,FnivLBInc Estimation,EstimationMethod,Standard method for Fusarium leaf blotch incidence.,,"Duveiller et al., 2014"
0000690,Double digit Estimation,EstimationMethod,"The method was improved by using two digits, representing the vertical disease progress and an estimate of severity. The first digit gives the relative height of the disease using the original 0-9 Saari-Prescott scale as a measure. The second digit shows the disease severity as a percentage but in terms of 0-9. Because it is difficult to evaluate diseases on dead leaves, disease notes should be taken when at least four leaves are still alive and green (soft to mid-dough growth stage). Then visually evaluate the average percentage severity on only those leaves of the uppermost four that are infected. In practice, the percent severity is estimated on an overall score. The following format is used for scoring severity: 10% coverage = 1, 20% coverage = 2, 30% coverage = 3, 40% coverage = 4, 50% coverage = 5, 60% coverage = 6, 70% coverage = 7, 80% coverage = 8, 90% coverage = 9. The score of 10 is not used.",,"Duveiller et al., 1998, Saari and Prescott, 1975, Eyal et al., 1987,  Duveiller et al., 2012"
0000690,Double digit Estimation,EstimationMethod,"The method was improved by using two digits, representing the vertical disease progress and an estimate of severity. The first digit gives the relative height of the disease using the original 0-9 Saari-Prescott scale as a measure. The second digit shows the disease severity as a percentage but in terms of 0-9. Because it is difficult to evaluate diseases on dead leaves, disease notes should be taken when at least four leaves are still alive and green (soft to mid-dough growth stage). Then visually evaluate the average percentage severity on only those leaves of the uppermost four that are infected. In practice, the percent severity is estimated on an overall score. The following format is used for scoring severity: 10% coverage = 1, 20% coverage = 2, 30% coverage = 3, 40% coverage = 4, 50% coverage = 5, 60% coverage = 6, 70% coverage = 7, 80% coverage = 8, 90% coverage = 9. The score of 10 is not used.",,"Duveiller et al., 1998, Saari and Prescott, 1975, Eyal et al., 1987,  Duveiller et al., 2012"
0000356,FoxiWilt  Estimation,EstimationMethod,Standard method for Fusarium wilt incidence.,,
0000251,GlmCol Estimation,EstimationMethod,Standard method for glume color.,,
0000255,GlmGlau Estimation,EstimationMethod,Standard method for glume glaucousness.,,
0000252,GlmLng Measurement,MeasurementMethod,Standard method for glume length.,,
0000253,GlmPubDen  Estimation,EstimationMethod,Standard method for glume pubescence density.,,
0000254,GlmPubLng Measurement,MeasurementMethod,Standard method for glume pubescence length.,,
0000256,GlmWid Measurement,MeasurementMethod,Standard method for glume width.,,
0000390,SDS-PAGE electrophoresis,MeasurementMethod,"1. Extract storage proteins (glutenins/gliadins) from wheat grain, 2. Separate glutenins from gliadins, 3. Run proteins extracts in polyacrylamide gels, 4. Stain the gel and de-stain, 5. Identify the allele for each locus.",,"Payne and Lawrence, 1983, Singh et al., 1991, Peña et al., 2004"
0000390,SDS-PAGE electrophoresis,MeasurementMethod,"1. Extract storage proteins (glutenins/gliadins) from wheat grain, 2. Separate glutenins from gliadins, 3. Run proteins extracts in polyacrylamide gels, 4. Stain the gel and de-stain, 5. Identify the allele for each locus.",,"Payne and Lawrence, 1983, Singh et al., 1991, Peña et al., 2004"
0000390,SDS-PAGE electrophoresis,MeasurementMethod,"1. Extract storage proteins (glutenins/gliadins) from wheat grain, 2. Separate glutenins from gliadins, 3. Run proteins extracts in polyacrylamide gels, 4. Stain the gel and de-stain, 5. Identify the allele for each locus.",,"Payne and Lawrence, 1983, Singh et al., 1991, Peña et al., 2004"
0000390,SDS-PAGE electrophoresis,MeasurementMethod,"1. Extract storage proteins (glutenins/gliadins) from wheat grain, 2. Separate glutenins from gliadins, 3. Run proteins extracts in polyacrylamide gels, 4. Stain the gel and de-stain, 5. Identify the allele for each locus.",,"Payne and Lawrence, 1983, Singh et al., 1991, Peña et al., 2004"
0000390,SDS-PAGE electrophoresis,MeasurementMethod,"1. Extract storage proteins (glutenins/gliadins) from wheat grain, 2. Separate glutenins from gliadins, 3. Run proteins extracts in polyacrylamide gels, 4. Stain the gel and de-stain, 5. Identify the allele for each locus.",,"Payne and Lawrence, 1983, Singh et al., 1991, Peña et al., 2004"
0000390,SDS-PAGE electrophoresis,MeasurementMethod,"1. Extract storage proteins (glutenins/gliadins) from wheat grain, 2. Separate glutenins from gliadins, 3. Run proteins extracts in polyacrylamide gels, 4. Stain the gel and de-stain, 5. Identify the allele for each locus.",,"Payne and Lawrence, 1983, Singh et al., 1991, Peña et al., 2004"
0000823,GApp Estimation,EstimationMethod,Standard method for grain appearance.,,
0000823,GApp Estimation,EstimationMethod,Standard method for grain appearance.,,
0000383,CID determination,MeasurementMethod,"Proceed following the protocol for sampling of grains or leaves for CID in Chapter 6 in Pask et al., 2012. Mass spectrometers generate differential values of stable carbon isotope composition (?13C), expressed negative values in parts per thousand (?) (Farquhar et al., 1989): ?13C (?) = [(Rsample/Rstandard)?1] x 1000. Where: the ratio of heavy to light isotope (R = 13C/12C) for the sample is in comparison to Peedee Belemnite (PDB) carbonate (limestone) standard. Following Farquhar et al. (1989) ? rather than using carbon isotope composition values (?13C), positive values for CID (?13C) can be calculated for easier statistical analysis as: ?13C = [(?a-?p)]/[1 + (?p/1000)]",,"Pask et al., 2012 (Ch. 6), Reynolds et al., 2001 (Ch. 5)"
0000257,GCol Estimation,EstimationMethod,Standard method for grain color.,,
0000400,Minolta Chroma Meter Test,MeasurementMethod,"Measurement of flour/whole meal/grain color with the Minolta chromameter, L value represents whiteness, a* value (reddishness) represents red and green colors and b* value (yellowness) represents yellow and blue colors. Using the Minolta Chroma Meter Test: 1. A sample of flour/whole meal/grain is placed on the granular materials attachment and compacted, 2. The Minolta Chroma Meter is inserted into the granular materials attachment, 3. Measurements are taken and recorded, 4.Color results are reported in terms of 3-dimensional color values based on the following rating scale: L* value whiteness: 100 white, 0 black, a* value positive +60 red color, negative values -60 green color, b* value positive +60 yellow color, negative values -60 blue color.",,
0000400,Minolta Chroma Meter Test,MeasurementMethod,"Measurement of flour/whole meal/grain color with the Minolta chromameter, L value represents whiteness, a* value (reddishness) represents red and green colors and b* value (yellowness) represents yellow and blue colors. Using the Minolta Chroma Meter Test: 1. A sample of flour/whole meal/grain is placed on the granular materials attachment and compacted, 2. The Minolta Chroma Meter is inserted into the granular materials attachment, 3. Measurements are taken and recorded, 4.Color results are reported in terms of 3-dimensional color values based on the following rating scale: L* value whiteness: 100 white, 0 black, a* value positive +60 red color, negative values -60 green color, b* value positive +60 yellow color, negative values -60 blue color.",,
0000400,Minolta Chroma Meter Test,MeasurementMethod,"Measurement of flour/whole meal/grain color with the Minolta chromameter, L value represents whiteness, a* value (reddishness) represents red and green colors and b* value (yellowness) represents yellow and blue colors. Using the Minolta Chroma Meter Test: 1. A sample of flour/whole meal/grain is placed on the granular materials attachment and compacted, 2. The Minolta Chroma Meter is inserted into the granular materials attachment, 3. Measurements are taken and recorded, 4.Color results are reported in terms of 3-dimensional color values based on the following rating scale: L* value whiteness: 100 white, 0 black, a* value positive +60 red color, negative values -60 green color, b* value positive +60 yellow color, negative values -60 blue color.",,
0000257,GCol Estimation,EstimationMethod,Standard method for grain color.,,
0000401,UseTyp Measurement,MeasurementMethod,Standard method for grain use type.,,"Peña, 2009"
0000838,GFP pct Computation,ComputationMethod,Calculated time between anthesis (DS65) and maturity (DS87)of crop cycle duration.,xxxx,"Zadoks et al., 1974,  Pask et al., 2012"
0000945,GFP days Computation,ComputationMethod,Calculated time between anthesis (DS65) and maturity (DS87)of crop cycle duration.,xxxx,"Zadoks et al., 1974,  Pask et al., 2012"
0000234,Germ Measurement,MeasurementMethod,"Laboratory seed test for germination should be carried out before seeding to calculate seeding rates or determine the status of storage seed. The percentage of seeds capable of producing normal seedlings under ordinarily favorable conditions (not including seeds which produce weak, malformed, or obviously abnormal sprouts), determined by methods ISTA seed testing protocols.",,"ISTA, 2014 (International Rules for Seed Testing)"
0000295,GHrd Measurement,MeasurementMethod,Standard method for grain hardness class.,,
0000295,GHrd Measurement,MeasurementMethod,Standard method for grain hardness class.,,
0000263,Modified Particle Size Index AACC 55-30  or NIR calibrated based on PSI results,MeasurementMethod,Modified Particle Size Index AACC 55-30 or NIR calibrated based on PSI results,,
0000295,GHrd Measurement,MeasurementMethod,Standard method for grain hardness class.,,
0000402,GIron Measurement,MeasurementMethod,Standard method for grain iron content.,,
0000402,GIron Measurement,MeasurementMethod,Standard method for grain iron content.,,
0000235,GMoi Estimation,EstimationMethod,Moisture content is determined by drying a grain wheat sample in an air oven and comparing the weight of the sample before and after heating. The amount of weight loss is the moisture content. Moisture content results are expressed as a percentage.,,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0000391,GN Computation,ComputationMethod,"Grain number (GNO) as other yield components can be calculated or measured individually (Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012), decide which method suit better for your objectives. GNO determines the sink size of the crop and under many conditions it is strongly correlated with yield. Grains/m2 (GNO) = yield (g/m2) / TGW (g) x 1000.",xxxx,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0000258,GrnSpk Computation,ComputationMethod,The number of grains per spike can be measured independently by threshing a known number of randomly selected spikes per plot (10-20 spikes per plot) or can be calculated as: Grains per spike (GSP) = grains m2 / spikes m2.,xxxx,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0000261,GrnSpl Computation,ComputationMethod,"Sample as for spikelets per spike randomly select 5-10 spikes per plot, by selecting at the base of the culm. Count the spikelets, thresh, count grains, and calculate, or less accurately simply calculate from calculated grains per spike and measured spikelet number.",xxxx,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0000403,GPhos Measurement,MeasurementMethod,Standard method for grain phosphorus content.,,
0000403,GPhos Measurement,MeasurementMethod,Standard method for grain phosphorus content.,,
0000259,GPlump Estimation,EstimationMethod,Standard method for grain plumpness.,,
0000289,Kjeldahl AACC 56-81B,MeasurementMethod,Kjeldahl AACC 56-81B.,,
0000946,NIRS Measurement,MeasurementMethod,NIR calibrated based on Kjeldahl results.,,
0000798,GReten Measurement,MeasurementMethod,Measured as weight by percentage of all matter remaining above a 2 mm slotted screen ? 40 shakes in the direction of the slots.,,
0000799,GScreen Measurement,MeasurementMethod,Measured as weight by percentage of all matter passing through a 2 mm slotted screen ? 40 shakes in the direction of the slots,,
0000260,GSize Estimation,EstimationMethod,Visual observation of grains size.,,
0000397,AACC 55-10 or SeedCount management procedure,MeasurementMethod,Standard method for test weight.,,
0000397,AACC 55-10 or SeedCount management procedure,MeasurementMethod,Standard method for test weight.,,
0000262,GVtr Estimation,EstimationMethod,Standard method for seed vitreousness.,,
0000246,GW Measurement,MeasurementMethod,Dry grains at 70oC and weigh.,,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0000246,GW Measurement,MeasurementMethod,Dry grains at 70oC and weigh.,,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0000246,GW Measurement,MeasurementMethod,Dry grains at 70oC and weigh.,,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0000399,GYellBer Measurement,MeasurementMethod,Standard method for yellow berry incidence.,,
0001028,GY Computation,ComputationMethod,Use formulae to calculate grain yield in g/m2,xxxx,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0001028,GY Computation,ComputationMethod,Use formulae to calculate grain yield in g/m2,xxxx,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0001028,GY Computation,ComputationMethod,Use formulae to calculate grain yield in g/m2,xxxx,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0000236,GY Measurement,MeasurementMethod,"The weight of the grain harvested is registered on a scale, decide which method suit better for your objectives. In breeding trials, a sample area (rather than the whole plot) is generally used for estimating yield. Discard borders when combine harvest for a better estimation of yield.",,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0000236,GY Measurement,MeasurementMethod,"The weight of the grain harvested is registered on a scale, decide which method suit better for your objectives. In breeding trials, a sample area (rather than the whole plot) is generally used for estimating yield. Discard borders when combine harvest for a better estimation of yield.",,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0000236,GY Measurement,MeasurementMethod,"The weight of the grain harvested is registered on a scale, decide which method suit better for your objectives. In breeding trials, a sample area (rather than the whole plot) is generally used for estimating yield. Discard borders when combine harvest for a better estimation of yield.",,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0000950,GY Relative to check Computation,ComputationMethod,Calculate grain yield of an entry as percentage over a local check.,xxxx,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0000822,GYFac Computation,ComputationMethod,Standard method for yield factor,xxxx,
0000404,GZinc Measurement,MeasurementMethod,Standard method for grain zinc content.,,
0000404,GZinc Measurement,MeasurementMethod,Standard method for grain zinc content.,,
0000839,GrwCls Estimation,EstimationMethod,"Classification of vernalization responsive growth habit as winter, facultative or spring wheat",,
0000239,GrwStg Zadoks Estimation,EstimationMethod,"Observe the growth stage or development stage (DS) of wheat plants using the Zadoks scale decimal code, based on 10 major stages, with each stage divided into sub-stages.",,"Zadoks et al., 1974,  Pask et al., 2012"
0000340,HailDmg Estimation,EstimationMethod,Score the damage caused by hail.,,
0000340,HailDmg Estimation,EstimationMethod,Score the damage caused by hail.,,
0001030,HI Computation,ComputationMethod,Harvest index is expressed in percentage and can be calculated as Harvest index (%) = (Grain yield/Biomass)*100.,xxxx,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0001030,HI Computation,ComputationMethod,Harvest index is expressed in percentage and can be calculated as Harvest index (%) = (Grain yield/Biomass)*100.,xxxx,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0000840,Hd DS55 date Estimation,EstimationMethod,"Record date of heading (DS55) when 50% of the spike is emerged (i.e., middle of the spike at the flag leaf ligule) on 50% of all stems.",,"Zadoks et al., 1974,  Pask et al., 2012"
0000840,Hd DS55 date Estimation,EstimationMethod,"Record date of heading (DS55) when 50% of the spike is emerged (i.e., middle of the spike at the flag leaf ligule) on 50% of all stems.",,"Zadoks et al., 1974,  Pask et al., 2012"
0000231,Hd DS55 days Computation,ComputationMethod,"Number of days required from sowing to spike emergence from the flag leaf (DS55). However, when planting in dry soils in dryland areas it is counted from the first day of rainfall or irrigation which is sufficient for germination, or from emergence date.",xxxx,"Zadoks et al., 1974,  Pask et al., 2012"
0000244,Hd DS55 relative Estimation,EstimationMethod,Assessment of heading (DS55) compared to best local check which represents the best locally adopted germplasm at each location grown in standard or normal environment.,,"Zadoks et al., 1974,  Pask et al., 2012"
0000365,HeatTol Estimation,EstimationMethod,Observe the growth of plants per plot/entry under heat condition and rate the tolerance.,,"Reynolds et al., 2001"
0000876,HelSpInc Estimation,EstimationMethod,Standard method for Helminthosporium species incidence.,,"Duveiller et al., 1998, Saari and Prescott, 1975, Eyal et al., 1987,  Duveiller et al., 2012"
0000704,HelSpLegacy Estimation,EstimationMethod,Standard method for Helminthosporium species legacy.,,"Duveiller et al., 1998, Saari and Prescott, 1975, Eyal et al., 1987,  Duveiller et al., 2012"
0000690,Double digit Estimation,EstimationMethod,"The method was improved by using two digits, representing the vertical disease progress and an estimate of severity. The first digit gives the relative height of the disease using the original 0-9 Saari-Prescott scale as a measure. The second digit shows the disease severity as a percentage but in terms of 0-9. Because it is difficult to evaluate diseases on dead leaves, disease notes should be taken when at least four leaves are still alive and green (soft to mid-dough growth stage). Then visually evaluate the average percentage severity on only those leaves of the uppermost four that are infected. In practice, the percent severity is estimated on an overall score. The following format is used for scoring severity: 10% coverage = 1, 20% coverage = 2, 30% coverage = 3, 40% coverage = 4, 50% coverage = 5, 60% coverage = 6, 70% coverage = 7, 80% coverage = 8, 90% coverage = 9. The score of 10 is not used.",,"Duveiller et al., 1998, Saari and Prescott, 1975, Eyal et al., 1987,  Duveiller et al., 2012"
0000690,Double digit Estimation,EstimationMethod,"The method was improved by using two digits, representing the vertical disease progress and an estimate of severity. The first digit gives the relative height of the disease using the original 0-9 Saari-Prescott scale as a measure. The second digit shows the disease severity as a percentage but in terms of 0-9. Because it is difficult to evaluate diseases on dead leaves, disease notes should be taken when at least four leaves are still alive and green (soft to mid-dough growth stage). Then visually evaluate the average percentage severity on only those leaves of the uppermost four that are infected. In practice, the percent severity is estimated on an overall score. The following format is used for scoring severity: 10% coverage = 1, 20% coverage = 2, 30% coverage = 3, 40% coverage = 4, 50% coverage = 5, 60% coverage = 6, 70% coverage = 7, 80% coverage = 8, 90% coverage = 9. The score of 10 is not used.",,"Duveiller et al., 1998, Saari and Prescott, 1975, Eyal et al., 1987,  Duveiller et al., 2012"
0000795,HerbicideDmg Estimation,EstimationMethod,Standard method for herbicide damage.,,
0000309,HesFlyDmg Estimation,EstimationMethod,Standard method for hessian fly damage.,,"Duveiller et al., 2012"
0000801,InfertTN Counting,CountingMethod,Count the number of infertile tillers.,,
0000801,InfertTN Counting,CountingMethod,Count the number of infertile tillers.,,
0001029,ISBM Computation,ComputationMethod,"Sampling is typically performed at sequential developmental stages/time intervals through crop growth. Cut all aboveground biomass in a predetermined area (A). Avoid border effects by sampling away from edges of plot.  In most cases, determinations of dry mass are made on representative sub-samples to reduce oven space requirement, take additional measurements (e.g., fertile culm count) etc. Several protocols available (Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012), decide which method suit better for your objectives.",xxxx,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012 (Ch. 15)"
0001029,ISBM Computation,ComputationMethod,"Sampling is typically performed at sequential developmental stages/time intervals through crop growth. Cut all aboveground biomass in a predetermined area (A). Avoid border effects by sampling away from edges of plot.  In most cases, determinations of dry mass are made on representative sub-samples to reduce oven space requirement, take additional measurements (e.g., fertile culm count) etc. Several protocols available (Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012), decide which method suit better for your objectives.",xxxx,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012 (Ch. 15)"
0001029,ISBM Computation,ComputationMethod,"Sampling is typically performed at sequential developmental stages/time intervals through crop growth. Cut all aboveground biomass in a predetermined area (A). Avoid border effects by sampling away from edges of plot.  In most cases, determinations of dry mass are made on representative sub-samples to reduce oven space requirement, take additional measurements (e.g., fertile culm count) etc. Several protocols available (Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012), decide which method suit better for your objectives.",xxxx,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012 (Ch. 15)"
0000394,ISBM Measurement,MeasurementMethod,"Sampling is typically performed at sequential developmental stages/time intervals through crop growth. Cut all aboveground biomass in a predetermined area (A). Avoid border effects by sampling away from edges of plot.  In most cases, determinations of dry mass are made on representative sub-samples to reduce oven space requirement, take additional measurements (e.g., fertile culm count) etc. Several protocols available (Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012), decide which method suit better for your objectives.",,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012 (Ch. 15)"
0000394,ISBM Measurement,MeasurementMethod,"Sampling is typically performed at sequential developmental stages/time intervals through crop growth. Cut all aboveground biomass in a predetermined area (A). Avoid border effects by sampling away from edges of plot.  In most cases, determinations of dry mass are made on representative sub-samples to reduce oven space requirement, take additional measurements (e.g., fertile culm count) etc. Several protocols available (Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012), decide which method suit better for your objectives.",,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012 (Ch. 15)"
0000705,InsectDmg Estimation,EstimationMethod,Standard method for insect damage.,,
0000705,InsectDmg Estimation,EstimationMethod,Standard method for insect damage.,,
0000323,TindiInc Estimation,EstimationMethod,Standard method for karnal bunt incidence.,,"Wilcoxson and Saari, 1996"
0000362,LAI Computation,ComputationMethod,"LAI can be determined directly by taking a sample of canopy from a plant canopy, measuring the leaf area per sample plot with an area meter or image scanner and dividing it by the plot land surface area. Indirect methods use ceptometer to measure canopy geometry or light extinction and relate it to LAI. (LAI = leaf area / ground area, m2 / m2).","(LAI = leaf area / ground area, m2 / m2)","Bell and Fischer, 1994, Pask et al., 2012"
0000383,CID determination,MeasurementMethod,"Proceed following the protocol for sampling of grains or leaves for CID in Chapter 6 in Pask et al., 2012. Mass spectrometers generate differential values of stable carbon isotope composition (?13C), expressed negative values in parts per thousand (?) (Farquhar et al., 1989): ?13C (?) = [(Rsample/Rstandard)?1] x 1000. Where: the ratio of heavy to light isotope (R = 13C/12C) for the sample is in comparison to Peedee Belemnite (PDB) carbonate (limestone) standard. Following Farquhar et al. (1989) ? rather than using carbon isotope composition values (?13C), positive values for CID (?13C) can be calculated for easier statistical analysis as: ?13C = [(?a-?p)]/[1 + (?p/1000)]",,"Pask et al., 2012 (Ch. 6), Reynolds et al., 2001 (Ch. 5)"
0000249,Chl Measurement,MeasurementMethod,"The chlorophyll content of leaves (and other green tissues) can be quickly, and non-destructively measured using a hand-held battery portable optical meter (e.g., Minolta SPAD-502 chlorophyll meter) which measures the chlorophyll content via light transmittance (absorbance of red light at 650 nm and infrared light at 940 nm) and compensates for differing leaf thicknesses. Readings from the instrument are not absolute chlorophyll values, instead each reading is a ?chlorophyll concentration index? (CCI, ranging from 0 to 99.9). Measurements are typically made on the flag leaf (once fully expanded), although measurements of lower leaves may be taken to assess canopy chlorophyll profiles.",,"Pask et al., 2012 (Ch. 9)"
0000268,LeafGlau Estimation,EstimationMethod,Standard method for leaf glaucousness.,,
0000268,LeafGlau Estimation,EstimationMethod,Standard method for leaf glaucousness.,,
0000264,LeafLng Measurement,MeasurementMethod,Standard method for leaf length.,,
0000265,LeafPubDen Estimation,EstimationMethod,Standard method for leaf pubescence density.,,
0000266,LeafPubLng  Measurement,MeasurementMethod,Standard method for leaf pubescence length.,,
0001026,Rust Coefficient of infection Computation,ComputationMethod,"Coefficient of infection (CI) calculated by multiplying the severity times a constant for host response: where immune = 0.0, R=0.2, MR =0.4, MS =0.8, and S=1.0.",xxxx,"Roelfs et al., 1992"
0000707,PrecoInc Estimation,EstimationMethod,Standard method for leaf rust incidence.,,"Roelfs et al., 1992"
0000900,PrecoLegacy Estimation,EstimationMethod,Standard method for leaf rust legacy.,,"Roelfs et al., 1992"
0000708,Note Estimation,EstimationMethod,Notes taken in the field.,,"Roelfs et al., 1992"
0000706,PrecoResp Estimation,EstimationMethod,Standard method for leaf rust response.,,"Roelfs et al., 1992"
0000706,PrecoResp Estimation,EstimationMethod,Standard method for leaf rust response.,,"Roelfs et al., 1992"
0000360,Adult plants rust field response Estimation,EstimationMethod,"Response (type of disease reaction) in adult plant to leaf/stem/stripe rust, refers to the infection type and is classified according to the following scale: 0-No visible infection. R-Resistant, necrotic areas with or without small pustules. MR-Moderately Resistant, small pustules surrounded by necrotic areas. M-Intermediate, pustules of variable size, some necrosis and/or chlorosis. MS-Moderately Susceptible, medium-sized pustules, no necrosis, but some chlorosis possible. S-Susceptible, large pustules, no necrosis or chlorosis.",,"Peterson et al., 1948, Roelfs et al., 1992, McIntosh et al., 1995"
0000604,Seedling rust field response Estimation,EstimationMethod,Seedling host responses are normally scored as susceptible or resistant depending on the infection type produced with a designated isolate in a particular environment. The infection type produced will often change if the environment is altered.,,"Roelfs, A.P., R.P. Singh, and E.E. Saari. 1992. Rust Diseases of Wheat: Concepts and methods of disease management. Mexico, D.F.: CIMMYT."
0000693,Rust severity Estimation,EstimationMethod,"Severity of rust is recorded as a percentage, according to the modified Cobb scale. As this relies upon observation it cannot be absolutely accurate. Thus it is common to use the following intervals: 0, 5, 10, 20, 40, 60, and 100 percent infection.",,"Peterson et al., 1948, Roelfs et al., 1992, McIntosh et al., 1995"
0000324,Modified cobb scale for severity,EstimationMethod,"Severity of leaf/stem/stripe rust is recorded as a percentage, according to the modified Cobb scale. As this relies upon observation it cannot be absolutely accurate. Thus it is common to use the following intervals: 0, 5, 10, 20, 40, 60, and 100 percent infection.",,"Peterson et al., 1948, Roelfs et al., 1992, McIntosh et al., 1995"
0000240,StomaCond Measurement,MeasurementMethod,Standard method for stomatal conductance.,,"Pask et al., 2012 (Ch. 2)"
0000349,StomaFrq Counting,CountingMethod,Standard method for stomatal frequency.,,
0000285,StomaRes Measurement,MeasurementMethod,Standard method for stomatal resistance.,,"Pask et al., 2012 (Ch. 2)"
0000348,StomaSiz  Measurement,MeasurementMethod,Standard method for stomatal size.,,
0000267,LeafThk Measurement,MeasurementMethod,Standard method for leaf thickness.,,
0000361,LeafTNecro Estimation,EstimationMethod,Leaf tip necrosis is observed and rated in percentage.,,
0000269,LeafWid Measurement,MeasurementMethod,Standard method for leaf width.,,
0000355,Lodg Estimation,EstimationMethod,Estimate of the area lodged in the sampled plot.,,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0000355,Lodg Estimation,EstimationMethod,Estimate of the area lodged in the sampled plot.,,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0000355,Lodg Estimation,EstimationMethod,Estimate of the area lodged in the sampled plot.,,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0000355,Lodg Estimation,EstimationMethod,Estimate of the area lodged in the sampled plot.,,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0000355,Lodg Estimation,EstimationMethod,Estimate of the area lodged in the sampled plot.,,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0000355,Lodg Estimation,EstimationMethod,Estimate of the area lodged in the sampled plot.,,"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012"
0000325,UtritInc Estimation,EstimationMethod,Standard method for loose smut incidence.,,"Wilcoxson and Saari, 1996"
0000325,UtritInc Estimation,EstimationMethod,Standard method for loose smut incidence.,,"Wilcoxson and Saari, 1996"
