id,value,description
0000469,4,2b
0000469,5,3a
0000469,2,1b
0000469,3,2a
0000469,8,4b
0000469,9,5.0
0000469,6,3b
0000469,7,4a
0000453,H,"hard (H, <45)"
0000453,SH,"semi-hard (SH, 45-55)"
0000453,S,"soft (S, >55)"
0000862,H,"hard (H, <45)"
0000862,S,"soft (S, >55)"
0000862,SH,"semi-hard (SH, 45-50)"
0000862,SS,"semi-soft (SS, 51-55)"
0000459,S,soft (S)
0000459,H,hard (H)
0000459,VH,very hard (VH)
0000459,MS,medium soft (MS)
0000459,MH,medium hard (MH)
0000474,1,shrivelled (SH)
0000474,2,good (G)
0000474,3,very good (VG)
0000455,1,small
0000455,2,medium
0000455,3,large
0000454,NV,not vitreous (NV)
0000454,PV,partly vitreous (PV)
0000454,V,vitreous (V)
0000851,W,winter
0000851,I,facultative (intermediate)
0000851,S,spring
0000476,96,"Ripening, 50% of viable seed germinates"
0000476,97,"Ripening, Seed not dormant"
0000476,94,"Ripening, Overripe, straw dead and collapsing"
0000476,95,"Ripening, Seed dormant"
0000476,22,"Tillering, Main shoot and 2 Tillers"
0000476,87,"Dough development, Hard dough (thumbnail impression held)"
0000476,85,"Dough development, Soft dough (firm, thumbnail mark not held)"
0000476,20,"Tillering, Main shoot only"
0000476,83,"Dough development, Early dough (elastic, dry and shiny)"
0000476,21,"Tillering, Main shoot and 1 Tiller"
0000476,81,"Dough development, Very early dough (slides when crushed)"
0000476,93,"Ripening, Kernel loosening in daytime"
0000476,92,"Ripening, Kernel hard (not dented by thumbnail)"
0000476,91,"Ripening, Kernel hard (difficult to divide, 16% water)"
0000476,14,"Seedling development , 4 leaves unfolded"
0000476,15,"Seedling development , 5 leaves unfolded"
0000476,13,"Seedling development , 3 leaves unfolded"
0000476,18,"Seedling development , 8 leaves unfolded"
0000476,19,"Seedling development , 9 or more leaves unfolded"
0000476,16,"Seedling development , 6 leaves unfolded"
0000476,17,"Seedling development , 7 leaves unfolded"
0000476,73,"Kernel and milk development, Early milk (liquid off -white)"
0000476,75,"Kernel and milk development, Medium milk (milky liquid)"
0000476,77,"Kernel and milk development, Late milk (more solids in milk)"
0000476,55,"Heading, ½ of head emerged"
0000476,53,"Heading, ¼ of head emerged"
0000476,59,"Heading, Emergence of head complete"
0000476,57,"Heading, ¾ of head emerged"
0000476,65,"Flowering or anthesis, Flowering half complete"
0000476,61,"Flowering or anthesis, Start of flowering"
0000476,71,"Kernel and milk development, Kernel watery ripe (clear liquid)"
0000476,69,"Flowering or anthesis, Flowering complete"
0000476,49,"Booting, First awns visible"
0000476,51,"Heading, First spikelet of head visible"
0000476,00,"Germination, Dry seed"
0000476,45,"Booting, Boot swollen"
0000476,05,"Germination, Radicle emerged from seed"
0000476,43,"Booting, Boot just visibly swollen"
0000476,07,"Germination, Coleoptile emerged from seed"
0000476,41,"Booting, Flag leaf sheath extending"
0000476,01,"Germination, Water uptake (imbibition) started"
0000476,03,"Germination, Imbibition complete"
0000476,39,"Stem elongation or jointing, Flag leaf ligule/collar just visible"
0000476,11,"Seedling development , First leaf unfolded"
0000476,37,"Stem elongation or jointing, Flag leaf just visible"
0000476,12,"Seedling development , 2 leaves unfolded"
0000476,36,"Stem elongation or jointing, 6th node detectable"
0000476,09,"Germination, Leaf just at coleoptile tip"
0000476,35,"Stem elongation or jointing, 5th node detectable"
0000476,10,"Seedling development , First leaf emerged"
0000476,34,"Stem elongation or jointing, 4th node detectable"
0000476,47,"Booting, Flag leaf sheath opening"
0000476,33,"Stem elongation or jointing, 3rd node detectable"
0000476,98,"Ripening, Secondary dormancy"
0000476,99,"Ripening, Secondary dormancy lost"
0000476,28,"Tillering, Main shoot and 8 Tillers"
0000476,27,"Tillering, Main shoot and 7 Tillers"
0000476,30,"Stem elongation or jointing, Pseudo stem erection"
0000476,29,"Tillering, Main shoot and 9 or more Tillers 89 Late hard dough (difficult to dent)"
0000476,24,"Tillering, Main shoot and 4 Tillers"
0000476,23,"Tillering, Main shoot and 3 Tillers"
0000476,26,"Tillering, Main shoot and 6 Tillers"
0000476,25,"Tillering, Main shoot and 5 Tillers"
0000476,32,"Stem elongation or jointing, 2nd node detectable"
0000476,31,"Stem elongation or jointing, 1st node detectable"
0000449,0,no damage
0000449,3,low damage
0000449,4,low to intermediate damage
0000449,1,trace
0000449,2,very low damage
0000449,7,high damage
0000449,8,high to very high damage
0000449,5,intermediate damage
0000449,6,intermediate to high damage
0000449,9,very high damage
0000457,1,none (N)
0000457,4,moderate (M)
0000457,5,very severe (V)
0000457,2,trace (T)
0000457,3,slight (S)
0000460,VE,very early (VE)
0000460,L,late (L)
0000460,VL,very late (VL)
0000460,E,early (E)
0000460,M,moderate (M)
0000464,1,highly susceptible
0000464,4,tolerant
0000464,5,highly tolerant
0000464,2,susceptible
0000464,3,intermediate
0000789,1,No Description
0000789,4,No Description
0000789,5,No Description
0000789,2,No Description
0000789,3,No Description
0000789,8,No Description
0000789,9,No Description
0000789,6,No Description
0000789,7,No Description
0000470,27,"20% plant height affected, 70% coverage"
0000470,25,"20% plant height affected, 50% coverage"
0000470,26,"20% plant height affected, 60% coverage"
0000470,19,"10% plant height affected, 90% coverage"
0000470,20,20
0000470,18,"10% plant height affected, 80% coverage"
0000470,23,"20% plant height affected, 30% coverage"
0000470,24,"20% plant height affected, 40% coverage"
0000470,21,"20% plant height affected, 10% coverage"
0000470,22,"20% plant height affected, 20% coverage"
0000470,96,"90% plant height affected, 60% coverage"
0000470,97,"90% plant height affected, 70% coverage"
0000470,94,"90% plant height affected, 40% coverage"
0000470,95,"90% plant height affected, 50% coverage"
0000470,99,"90% plant height affected, 90% coverage"
0000470,98,"90% plant height affected, 80% coverage"
0000470,87,"80% plant height affected, 70% coverage"
0000470,83,"80% plant height affected, 30% coverage"
0000470,84,"80% plant height affected, 40% coverage"
0000470,85,"80% plant height affected, 50% coverage"
0000470,86,"80% plant height affected, 60% coverage"
0000470,91,"90% plant height affected, 10% coverage"
0000470,90,90
0000470,93,"90% plant height affected, 30% coverage"
0000470,92,"90% plant height affected, 20% coverage"
0000470,89,"80% plant height affected, 90% coverage"
0000470,88,"80% plant height affected, 80% coverage"
0000470,76,"70% plant height affected, 60% coverage"
0000470,77,"70% plant height affected, 70% coverage"
0000470,74,"70% plant height affected, 40% coverage"
0000470,75,"70% plant height affected, 50% coverage"
0000470,72,"70% plant height affected, 20% coverage"
0000470,73,"70% plant height affected, 30% coverage"
0000470,82,"80% plant height affected, 20% coverage"
0000470,81,"80% plant height affected, 10% coverage"
0000470,80,80
0000470,79,"70% plant height affected, 90% coverage"
0000470,78,"70% plant height affected, 80% coverage"
0000470,70,70
0000470,71,"70% plant height affected, 10% coverage"
0000470,68,"60% plant height affected, 80% coverage"
0000470,69,"60% plant height affected, 90% coverage"
0000470,64,"60% plant height affected, 40% coverage"
0000470,63,"60% plant height affected, 30% coverage"
0000470,62,"60% plant height affected, 20% coverage"
0000470,61,"60% plant height affected, 10% coverage"
0000470,67,"60% plant height affected, 70% coverage"
0000470,66,"60% plant height affected, 60% coverage"
0000470,65,"60% plant height affected, 50% coverage"
0000470,58,"50% plant height affected, 80% coverage"
0000470,59,"50% plant height affected, 90% coverage"
0000470,60,60
0000470,51,"50% plant height affected, 10% coverage"
0000470,50,50
0000470,53,"50% plant height affected, 30% coverage"
0000470,52,"50% plant height affected, 20% coverage"
0000470,55,"50% plant height affected, 50% coverage"
0000470,54,"50% plant height affected, 40% coverage"
0000470,57,"50% plant height affected, 70% coverage"
0000470,56,"50% plant height affected, 60% coverage"
0000470,48,"40% plant height affected, 80% coverage"
0000470,49,"40% plant height affected, 90% coverage"
0000470,00,no disease
0000470,46,"40% plant height affected, 60% coverage"
0000470,12,"10% plant height affected, 20% coverage"
0000470,45,"40% plant height affected, 50% coverage"
0000470,13,"10% plant height affected, 30% coverage"
0000470,44,"40% plant height affected, 40% coverage"
0000470,10,10
0000470,43,"40% plant height affected, 30% coverage"
0000470,11,"10% plant height affected, 10% coverage"
0000470,42,"40% plant height affected, 20% coverage"
0000470,16,"10% plant height affected, 60% coverage"
0000470,41,"40% plant height affected, 10% coverage"
0000470,17,"10% plant height affected, 70% coverage"
0000470,40,40
0000470,14,"10% plant height affected, 40% coverage"
0000470,39,"30% plant height affected, 90% coverage"
0000470,15,"10% plant height affected, 50% coverage"
0000470,47,"40% plant height affected, 70% coverage"
0000470,38,"30% plant height affected, 80% coverage"
0000470,33,"30% plant height affected, 30% coverage"
0000470,32,"30% plant height affected, 20% coverage"
0000470,35,"30% plant height affected, 50% coverage"
0000470,34,"30% plant height affected, 40% coverage"
0000470,29,"20% plant height affected, 90% coverage"
0000470,28,"20% plant height affected, 80% coverage"
0000470,31,"30% plant height affected, 10% coverage"
0000470,30,30
0000470,37,"30% plant height affected, 70% coverage"
0000470,36,"30% plant height affected, 60% coverage"
0000457,1,none (N)
0000457,4,moderate (M)
0000457,5,very severe (V)
0000457,2,trace (T)
0000457,3,slight (S)
0000457,1,none (N)
0000457,4,moderate (M)
0000457,5,very severe (V)
0000457,2,trace (T)
0000457,3,slight (S)
0000450,0,absent
0000450,3,sparse
0000450,4,sparse to intermediate
0000450,1,very sparse
0000450,2,very sparse to sparse
0000450,7,dense
0000450,8,dense to very dense
0000450,5,intermediate
0000450,6,intermadiate to dense
0000450,9,very dense
0000827,1,absent
0000827,4,dense
0000827,5,very dense
0000827,2,sparse
0000827,3,intermediate
0000450,0,absent
0000450,3,sparse
0000450,4,sparse to intermediate
0000450,1,very sparse
0000450,2,very sparse to sparse
0000450,7,dense
0000450,8,dense to very dense
0000450,5,intermediate
0000450,6,intermadiate to dense
0000450,9,very dense
0000465,1,none
0000465,4,low to medium
0000465,5,medium
0000465,2,very low
0000465,3,low
0000465,8,very high
0000465,9,severe
0000465,6,medium to high
0000465,7,high
0000877,9,No Description
0000877,6,No Description
0000877,5,No Description
0000877,8,No Description
0000877,7,No Description
0000877,2,No Description
0000877,1,No Description
0000877,4,No Description
0000877,3,No Description
0000768,I,"immune (0), no uredinia or other macroscopic sign of infection"
0000768,MS,"moderately susceptible (MS), medium-sized pustules, no necrosis, but some chlorosis possible"
0000768,S,"susceptible (S), large pustules, no necrosis or chlorosis"
0000768,R,"resistant (R), necrotic areas with or without small pustules"
0000768,MR,"moderately resistant (MR), small pustules surrounded by necrotic areas"
0000773,R,"resistant (R), necrotic areas with or without small pustules"
0000773,S,"susceptible (S), large pustules, no necrosis or chlorosis"
0000773,MR,"moderately resistant (MR), small pustules surrounded by necrotic areas"
0000773,MS,"moderately susceptible (MS), medium-sized pustules, no necrosis, but some chlorosis possible"
0000473,0,no visible infection (0)
0000473,MR,"moderately resistant (MR), small pustules surrounded by necrotic areas"
0000473,I,"intermediate (M), pustules of variable size, some necrosis and/or chlorosis"
0000473,R,"resistant (R), necrotic areas with or without small pustules"
0000473,R-MR,resistant to moderately resistance (R-MR)
0000473,S,"susceptible (S), large pustules, no necrosis or chlorosis"
0000473,MS,"moderately susceptible (MS), medium-sized pustules, no necrosis, but some clorosis possible"
0000473,MS-S,moderately susceptible to susceptible (MS-S)
0000606,I,"immune, no uredinia or other macroscopic sign of infection (0)"
0000606,2,"moderately resistant, small to medium uredinia often surrounded by Chlorosis or necrosis, green island may be surrounded by chlorotic or necrotic border (2)"
0000606,X,"heterogeneous, random distribution of variable-sized uredinia on single leaf (X)"
0000606,",","nearly immune, no uredinia, but hypersensitive necrotic or chlorotic flecks present (,)"
0000606,1,"very resistant, small uredinia surrounded by necrosis (1)"
0000606,3,"moderately susceptible, medium-sized uredinia that may be associated with chlorosis (3)"
0000606,4,"susceptible, large uredinia without chlorosis (4)"
0000606,Y,"heterogeneous, ordered distribution of variable-sized uredinia, with larger uredinia at leaf tip (Y)"
0000606,Z,"Heterogeneous, ordered distribution of variable-sized uredinia, with larger uredinia at leaf base (Z)"
0000753,0,0% (no uredia)
0000753,10,10% (3.7% occupied by uredia)
0000753,20,20% (7.4% occupied by uredia)
0000753,1,1% (0.37% occupied by uredia)
0000753,5,5% (1.85% occupied by uredia)
0000753,50,50% (18.5% occupied by uredia)
0000753,60,60% (22.2% occupied by uredia)
0000753,30,30% (11.1% occupied by uredia)
0000753,40,40% (14.8% occupied by uredia)
0000753,80,80% (29.6% occupied by uredia)
0000753,90,90% (33.3% occupied by uredia)
0000753,70,70% (25.9% occupied by uredia)
0000753,100,100% (37% occupied by uredia)
0000807,0,No visible affection
0000807,3,60% coverage
0000807,4,80% coverage
0000807,1,20% coverage
0000807,2,40% coverage
0000807,5,100% coverage
0000446,0,No visible affection
0000446,3,30% coverage
0000446,4,40% coverage
0000446,1,10% coverage
0000446,2,20% coverage
0000446,7,70% coverage
0000446,8,80% coverage
0000446,5,50% coverage
0000446,6,60% coverage
0000446,9,90% coverage
0000457,1,none (N)
0000457,4,moderate (M)
0000457,5,very severe (V)
0000457,2,trace (T)
0000457,3,slight (S)
0000465,1,none
0000465,4,low to medium
0000465,5,medium
0000465,2,very low
0000465,3,low
0000465,8,very high
0000465,9,severe
0000465,6,medium to high
0000465,7,high
0000465,1,none
0000465,4,low to medium
0000465,5,medium
0000465,2,very low
0000465,3,low
0000465,8,very high
0000465,9,severe
0000465,6,medium to high
0000465,7,high
0000856,1,very early (VE)
0000856,4,"normal, similar to local check (N)"
0000856,5,late (L)
0000856,2,early (E)
0000856,3,early to normal (E-N)
0000856,6,very late (VL)
0000460,VE,very early (VE)
0000460,L,late (L)
0000460,VL,very late (VL)
0000460,E,early (E)
0000460,M,moderate (M)
0000470,27,"20% plant height affected, 70% coverage"
0000470,25,"20% plant height affected, 50% coverage"
0000470,26,"20% plant height affected, 60% coverage"
0000470,19,"10% plant height affected, 90% coverage"
0000470,20,20
0000470,18,"10% plant height affected, 80% coverage"
0000470,23,"20% plant height affected, 30% coverage"
0000470,24,"20% plant height affected, 40% coverage"
0000470,21,"20% plant height affected, 10% coverage"
0000470,22,"20% plant height affected, 20% coverage"
0000470,96,"90% plant height affected, 60% coverage"
0000470,97,"90% plant height affected, 70% coverage"
0000470,94,"90% plant height affected, 40% coverage"
0000470,95,"90% plant height affected, 50% coverage"
0000470,99,"90% plant height affected, 90% coverage"
0000470,98,"90% plant height affected, 80% coverage"
0000470,87,"80% plant height affected, 70% coverage"
0000470,83,"80% plant height affected, 30% coverage"
0000470,84,"80% plant height affected, 40% coverage"
0000470,85,"80% plant height affected, 50% coverage"
0000470,86,"80% plant height affected, 60% coverage"
0000470,91,"90% plant height affected, 10% coverage"
0000470,90,90
0000470,93,"90% plant height affected, 30% coverage"
0000470,92,"90% plant height affected, 20% coverage"
0000470,89,"80% plant height affected, 90% coverage"
0000470,88,"80% plant height affected, 80% coverage"
0000470,76,"70% plant height affected, 60% coverage"
0000470,77,"70% plant height affected, 70% coverage"
0000470,74,"70% plant height affected, 40% coverage"
0000470,75,"70% plant height affected, 50% coverage"
0000470,72,"70% plant height affected, 20% coverage"
0000470,73,"70% plant height affected, 30% coverage"
0000470,82,"80% plant height affected, 20% coverage"
0000470,81,"80% plant height affected, 10% coverage"
0000470,80,80
0000470,79,"70% plant height affected, 90% coverage"
0000470,78,"70% plant height affected, 80% coverage"
0000470,70,70
0000470,71,"70% plant height affected, 10% coverage"
0000470,68,"60% plant height affected, 80% coverage"
0000470,69,"60% plant height affected, 90% coverage"
0000470,64,"60% plant height affected, 40% coverage"
0000470,63,"60% plant height affected, 30% coverage"
0000470,62,"60% plant height affected, 20% coverage"
0000470,61,"60% plant height affected, 10% coverage"
0000470,67,"60% plant height affected, 70% coverage"
0000470,66,"60% plant height affected, 60% coverage"
0000470,65,"60% plant height affected, 50% coverage"
0000470,58,"50% plant height affected, 80% coverage"
0000470,59,"50% plant height affected, 90% coverage"
0000470,60,60
0000470,51,"50% plant height affected, 10% coverage"
0000470,50,50
0000470,53,"50% plant height affected, 30% coverage"
0000470,52,"50% plant height affected, 20% coverage"
0000470,55,"50% plant height affected, 50% coverage"
0000470,54,"50% plant height affected, 40% coverage"
0000470,57,"50% plant height affected, 70% coverage"
0000470,56,"50% plant height affected, 60% coverage"
0000470,48,"40% plant height affected, 80% coverage"
0000470,49,"40% plant height affected, 90% coverage"
0000470,00,no disease
0000470,46,"40% plant height affected, 60% coverage"
0000470,12,"10% plant height affected, 20% coverage"
0000470,45,"40% plant height affected, 50% coverage"
0000470,13,"10% plant height affected, 30% coverage"
0000470,44,"40% plant height affected, 40% coverage"
0000470,10,10
0000470,43,"40% plant height affected, 30% coverage"
0000470,11,"10% plant height affected, 10% coverage"
0000470,42,"40% plant height affected, 20% coverage"
0000470,16,"10% plant height affected, 60% coverage"
0000470,41,"40% plant height affected, 10% coverage"
0000470,17,"10% plant height affected, 70% coverage"
0000470,40,40
0000470,14,"10% plant height affected, 40% coverage"
0000470,39,"30% plant height affected, 90% coverage"
0000470,15,"10% plant height affected, 50% coverage"
0000470,47,"40% plant height affected, 70% coverage"
0000470,38,"30% plant height affected, 80% coverage"
0000470,33,"30% plant height affected, 30% coverage"
0000470,32,"30% plant height affected, 20% coverage"
0000470,35,"30% plant height affected, 50% coverage"
0000470,34,"30% plant height affected, 40% coverage"
0000470,29,"20% plant height affected, 90% coverage"
0000470,28,"20% plant height affected, 80% coverage"
0000470,31,"30% plant height affected, 10% coverage"
0000470,30,30
0000470,37,"30% plant height affected, 70% coverage"
0000470,36,"30% plant height affected, 60% coverage"
0000450,0,absent
0000450,3,sparse
0000450,4,sparse to intermediate
0000450,1,very sparse
0000450,2,very sparse to sparse
0000450,7,dense
0000450,8,dense to very dense
0000450,5,intermediate
0000450,6,intermadiate to dense
0000450,9,very dense
0000450,0,absent
0000450,3,sparse
0000450,4,sparse to intermediate
0000450,1,very sparse
0000450,2,very sparse to sparse
0000450,7,dense
0000450,8,dense to very dense
0000450,5,intermediate
0000450,6,intermadiate to dense
0000450,9,very dense
0000462,1,very poor (VP)
0000462,4,good (G)
0000462,5,very good (VG)
0000462,2,poor (P)
0000462,3,fair (F)
0000458,E,erect (E)
0000458,S,spreading (S)
0000458,P,Prostrate (P)
0000458,SE,semi-erect (SE)
0000458,SS,semi-spreading (SS)
0000461,VS,very short (VS)
0000461,T,tall (T)
0000461,VT,very tall (VT)
0000461,S,short (S)
0000461,M,medium (M)
0000599,1,present
0000599,0,absent
0000857,0,insensitive
0000857,3,low
0000857,4,low to intermediate
0000857,1,very low
0000857,2,very low to low
0000857,7,moderate
0000857,8,moderate to high
0000857,5,intermediate
0000857,6,intermediate to moderate
0000857,9,high
0000462,1,very poor (VP)
0000462,4,good (G)
0000462,5,very good (VG)
0000462,2,poor (P)
0000462,3,fair (F)
0000782,0,none
0000782,3,medium
0000782,4,high
0000782,1,very low
0000782,2,low
0000782,5,severe
0000788,1,none
0000788,4,high
0000788,5,severe
0000788,2,low
0000788,3,medium
0000465,1,none
0000465,4,low to medium
0000465,5,medium
0000465,2,very low
0000465,3,low
0000465,8,very high
0000465,9,severe
0000465,6,medium to high
0000465,7,high
0000790,9,No Description
0000790,6,No Description
0000790,5,No Description
0000790,8,No Description
0000790,7,No Description
0000790,2,No Description
0000790,1,No Description
0000790,4,No Description
0000790,3,No Description
0000470,27,"20% plant height affected, 70% coverage"
0000470,25,"20% plant height affected, 50% coverage"
0000470,26,"20% plant height affected, 60% coverage"
0000470,19,"10% plant height affected, 90% coverage"
0000470,20,20
0000470,18,"10% plant height affected, 80% coverage"
0000470,23,"20% plant height affected, 30% coverage"
0000470,24,"20% plant height affected, 40% coverage"
0000470,21,"20% plant height affected, 10% coverage"
0000470,22,"20% plant height affected, 20% coverage"
0000470,96,"90% plant height affected, 60% coverage"
0000470,97,"90% plant height affected, 70% coverage"
0000470,94,"90% plant height affected, 40% coverage"
0000470,95,"90% plant height affected, 50% coverage"
0000470,99,"90% plant height affected, 90% coverage"
0000470,98,"90% plant height affected, 80% coverage"
0000470,87,"80% plant height affected, 70% coverage"
0000470,83,"80% plant height affected, 30% coverage"
0000470,84,"80% plant height affected, 40% coverage"
0000470,85,"80% plant height affected, 50% coverage"
0000470,86,"80% plant height affected, 60% coverage"
0000470,91,"90% plant height affected, 10% coverage"
0000470,90,90
0000470,93,"90% plant height affected, 30% coverage"
0000470,92,"90% plant height affected, 20% coverage"
0000470,89,"80% plant height affected, 90% coverage"
0000470,88,"80% plant height affected, 80% coverage"
0000470,76,"70% plant height affected, 60% coverage"
0000470,77,"70% plant height affected, 70% coverage"
0000470,74,"70% plant height affected, 40% coverage"
0000470,75,"70% plant height affected, 50% coverage"
0000470,72,"70% plant height affected, 20% coverage"
0000470,73,"70% plant height affected, 30% coverage"
0000470,82,"80% plant height affected, 20% coverage"
0000470,81,"80% plant height affected, 10% coverage"
0000470,80,80
0000470,79,"70% plant height affected, 90% coverage"
0000470,78,"70% plant height affected, 80% coverage"
0000470,70,70
0000470,71,"70% plant height affected, 10% coverage"
0000470,68,"60% plant height affected, 80% coverage"
0000470,69,"60% plant height affected, 90% coverage"
0000470,64,"60% plant height affected, 40% coverage"
0000470,63,"60% plant height affected, 30% coverage"
0000470,62,"60% plant height affected, 20% coverage"
0000470,61,"60% plant height affected, 10% coverage"
0000470,67,"60% plant height affected, 70% coverage"
0000470,66,"60% plant height affected, 60% coverage"
0000470,65,"60% plant height affected, 50% coverage"
0000470,58,"50% plant height affected, 80% coverage"
0000470,59,"50% plant height affected, 90% coverage"
0000470,60,60
0000470,51,"50% plant height affected, 10% coverage"
0000470,50,50
0000470,53,"50% plant height affected, 30% coverage"
0000470,52,"50% plant height affected, 20% coverage"
0000470,55,"50% plant height affected, 50% coverage"
0000470,54,"50% plant height affected, 40% coverage"
0000470,57,"50% plant height affected, 70% coverage"
0000470,56,"50% plant height affected, 60% coverage"
0000470,48,"40% plant height affected, 80% coverage"
0000470,49,"40% plant height affected, 90% coverage"
0000470,00,no disease
0000470,46,"40% plant height affected, 60% coverage"
0000470,12,"10% plant height affected, 20% coverage"
0000470,45,"40% plant height affected, 50% coverage"
0000470,13,"10% plant height affected, 30% coverage"
0000470,44,"40% plant height affected, 40% coverage"
0000470,10,10
0000470,43,"40% plant height affected, 30% coverage"
0000470,11,"10% plant height affected, 10% coverage"
0000470,42,"40% plant height affected, 20% coverage"
0000470,16,"10% plant height affected, 60% coverage"
0000470,41,"40% plant height affected, 10% coverage"
0000470,17,"10% plant height affected, 70% coverage"
0000470,40,40
0000470,14,"10% plant height affected, 40% coverage"
0000470,39,"30% plant height affected, 90% coverage"
0000470,15,"10% plant height affected, 50% coverage"
0000470,47,"40% plant height affected, 70% coverage"
0000470,38,"30% plant height affected, 80% coverage"
0000470,33,"30% plant height affected, 30% coverage"
0000470,32,"30% plant height affected, 20% coverage"
0000470,35,"30% plant height affected, 50% coverage"
0000470,34,"30% plant height affected, 40% coverage"
0000470,29,"20% plant height affected, 90% coverage"
0000470,28,"20% plant height affected, 80% coverage"
0000470,31,"30% plant height affected, 10% coverage"
0000470,30,30
0000470,37,"30% plant height affected, 70% coverage"
0000470,36,"30% plant height affected, 60% coverage"
0000446,0,No visible affection
0000446,3,30% coverage
0000446,4,40% coverage
0000446,1,10% coverage
0000446,2,20% coverage
0000446,7,70% coverage
0000446,8,80% coverage
0000446,5,50% coverage
0000446,6,60% coverage
0000446,9,90% coverage
0000457,1,none (N)
0000457,4,moderate (M)
0000457,5,very severe (V)
0000457,2,trace (T)
0000457,3,slight (S)
0000468,1,highly susceptible
0000468,4,susceptible to moderately susceptible
0000468,5,moderately susceptible
0000468,2,highly susceptible to susceptible
0000468,3,susceptible
0000468,8,tolerant
0000468,9,highly tolerant
0000468,6,moderately susceptible to moderately tolerant
0000468,7,moderately tolerant
0000789,1,No Description
0000789,4,No Description
0000789,5,No Description
0000789,2,No Description
0000789,3,No Description
0000789,8,No Description
0000789,9,No Description
0000789,6,No Description
0000789,7,No Description
0000790,9,No Description
0000790,6,No Description
0000790,5,No Description
0000790,8,No Description
0000790,7,No Description
0000790,2,No Description
0000790,1,No Description
0000790,4,No Description
0000790,3,No Description
0000735,Imm,"Immune (Imm) - No pycnidial formation, no symptoms or occasional hypersensitive fleck."
0000735,I,Intermediate (I) - Light pycnidial format ion. Coalescing of lesions normally noticeable towards the leaf tip and elsewhere on the leaf.
0000735,S,"Susceptible (S) - Moderate pycnidial formation, lesions coalescing considerably."
0000735,HR,"Highly Resistant (HR) - No or only occasional isolated pycnidia formed, particularly in older leaf tissue,  hypersensitive flecking in younger leaf tissue."
0000735,R,Resistant (R) - Very light pycnidial formation. Some coalescing of lesions mainly toward the leaf tip and in older leaf tissue.
0000735,VS,"Very susceptible (VS), large, abundant pycnidia, lesions coalescing extensively"
0000729,VR,"very resistant (VR), average pycnidial density of 0-5%"
0000729,MS,"moderately susceptible (MS), average pycnidial density coverage of 30-40%"
0000729,S,"susceptible (S), pycnidial density greater than 40%"
0000729,R,"resistant (R), average pycnidial density of 5-15%"
0000729,MR,"moderately resistant (MR), average pycnidial density coverage of 15-30%"
0000470,27,"20% plant height affected, 70% coverage"
0000470,25,"20% plant height affected, 50% coverage"
0000470,26,"20% plant height affected, 60% coverage"
0000470,19,"10% plant height affected, 90% coverage"
0000470,20,20
0000470,18,"10% plant height affected, 80% coverage"
0000470,23,"20% plant height affected, 30% coverage"
0000470,24,"20% plant height affected, 40% coverage"
0000470,21,"20% plant height affected, 10% coverage"
0000470,22,"20% plant height affected, 20% coverage"
0000470,96,"90% plant height affected, 60% coverage"
0000470,97,"90% plant height affected, 70% coverage"
0000470,94,"90% plant height affected, 40% coverage"
0000470,95,"90% plant height affected, 50% coverage"
0000470,99,"90% plant height affected, 90% coverage"
0000470,98,"90% plant height affected, 80% coverage"
0000470,87,"80% plant height affected, 70% coverage"
0000470,83,"80% plant height affected, 30% coverage"
0000470,84,"80% plant height affected, 40% coverage"
0000470,85,"80% plant height affected, 50% coverage"
0000470,86,"80% plant height affected, 60% coverage"
0000470,91,"90% plant height affected, 10% coverage"
0000470,90,90
0000470,93,"90% plant height affected, 30% coverage"
0000470,92,"90% plant height affected, 20% coverage"
0000470,89,"80% plant height affected, 90% coverage"
0000470,88,"80% plant height affected, 80% coverage"
0000470,76,"70% plant height affected, 60% coverage"
0000470,77,"70% plant height affected, 70% coverage"
0000470,74,"70% plant height affected, 40% coverage"
0000470,75,"70% plant height affected, 50% coverage"
0000470,72,"70% plant height affected, 20% coverage"
0000470,73,"70% plant height affected, 30% coverage"
0000470,82,"80% plant height affected, 20% coverage"
0000470,81,"80% plant height affected, 10% coverage"
0000470,80,80
0000470,79,"70% plant height affected, 90% coverage"
0000470,78,"70% plant height affected, 80% coverage"
0000470,70,70
0000470,71,"70% plant height affected, 10% coverage"
0000470,68,"60% plant height affected, 80% coverage"
0000470,69,"60% plant height affected, 90% coverage"
0000470,64,"60% plant height affected, 40% coverage"
0000470,63,"60% plant height affected, 30% coverage"
0000470,62,"60% plant height affected, 20% coverage"
0000470,61,"60% plant height affected, 10% coverage"
0000470,67,"60% plant height affected, 70% coverage"
0000470,66,"60% plant height affected, 60% coverage"
0000470,65,"60% plant height affected, 50% coverage"
0000470,58,"50% plant height affected, 80% coverage"
0000470,59,"50% plant height affected, 90% coverage"
0000470,60,60
0000470,51,"50% plant height affected, 10% coverage"
0000470,50,50
0000470,53,"50% plant height affected, 30% coverage"
0000470,52,"50% plant height affected, 20% coverage"
0000470,55,"50% plant height affected, 50% coverage"
0000470,54,"50% plant height affected, 40% coverage"
0000470,57,"50% plant height affected, 70% coverage"
0000470,56,"50% plant height affected, 60% coverage"
0000470,48,"40% plant height affected, 80% coverage"
0000470,49,"40% plant height affected, 90% coverage"
0000470,00,no disease
0000470,46,"40% plant height affected, 60% coverage"
0000470,12,"10% plant height affected, 20% coverage"
0000470,45,"40% plant height affected, 50% coverage"
