observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
1,2873152,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49158,https://doi.org/10.15454/UFYMWM,EM08231,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"77,36",,,
2,2873055,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"10,7",,"96,78",,,
1,2873052,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"91,06",,,
1,2873054,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"10,2",,"99,55",,,
2,2873053,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"94,66",,7,
2,2873087,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49138,https://doi.org/10.15454/NSZ09C,RE10039,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"10,9",,"87,38",,,
1,2873086,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49138,https://doi.org/10.15454/NSZ09C,RE10039,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"10,4",,"87,28",,,
2,2873085,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49138,https://doi.org/10.15454/NSZ09C,RE10039,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"85,72",,"5,5",
1,2873084,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49138,https://doi.org/10.15454/NSZ09C,RE10039,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"84,72",,,
1,2873108,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"69,73",,,
1,2873110,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"9,5",,"87,67",,,
2,2873109,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"79,03",,9,
2,2873111,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,NA,,"85,39",,,
2,2873197,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"95,28",,7,
1,2873196,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"99,72",,,
1,2873198,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,10,,"99,66",,,
2,2873199,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"10,7",,"101,84",,,
2,2873195,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"9,9",,"92,04",,,
2,2873193,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"85,54",,7,
1,2873194,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"9,6",,"95,76",,,
1,2873192,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"86,36",,,
2,2873119,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,NA,,97,,,
1,2873118,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"10,1",,"96,26",,,
1,2873116,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"91,53",,,
2,2873117,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"90,62",,7,
1,2873126,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"10,3",,"88,01",,,
1,2873124,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"85,64",,,
2,2873127,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"10,8",,"88,38",,,
2,2873125,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"83,92",,7,
2,2873151,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"11,1",,"99,21",,,
1,2873148,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"94,5",,,
1,2873150,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"10,1",,"97,11",,,
2,2873149,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"96,55",,"6,5",
1,2873166,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48909,https://doi.org/10.15454/JCAVKU,AO12011,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"10,4",,"94,77",,,
2,2873165,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48909,https://doi.org/10.15454/JCAVKU,AO12011,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"87,3",,"4,5",
1,2873164,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48909,https://doi.org/10.15454/JCAVKU,AO12011,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"82,47",,,
2,2873167,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48909,https://doi.org/10.15454/JCAVKU,AO12011,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"10,7",,"92,28",,,
2,2873163,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48425,https://doi.org/10.15454/9SFFFA,AO12013,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"11,3",,"87,57",,,
2,2873161,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48425,https://doi.org/10.15454/9SFFFA,AO12013,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"73,99",,9,
1,2873162,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48425,https://doi.org/10.15454/9SFFFA,AO12013,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"10,3",,"88,45",,,
1,2873160,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48425,https://doi.org/10.15454/9SFFFA,AO12013,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"76,14",,,
