observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE99016itkt,2763815,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26874,https://doi.org/10.15454/M7F6IJ,RE99016,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,1,,147,,"10,6",,"102,3",,1,,"100,3",,2,,3,,1,
RE99016itknt,2763814,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26874,https://doi.org/10.15454/M7F6IJ,RE99016,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,90,,3,,147,,,,"128,7",,2,,68,,4,,6,,1,
HA1070.50itkt,2763788,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,48987,gnpis_pui:holding-921_taxon-4898_accession-48987,HA1070.50,VIRTUAL_TRIAL,,,,,,,,treated,2000,"103,5",,2,,147,,10,,"108,3",,1,,"106,2",,2,,2,,"2,5",
EM99027itkfi,2763807,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26866,https://doi.org/10.15454/OANUO1,EM99027,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,110,,4,,134,,"10,2",,"122,1",,7,,"68,4",,3,,,,"2,5",
HA1066.146itkt,2763785,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,48543,gnpis_pui:holding-921_taxon-4898_accession-48543,HA1066.146,VIRTUAL_TRIAL,,,,,,,,treated,2000,"102,5",,2,,144,,"10,7",,"112,1",,"1,5",,110,,2,,2,,3,
RE99003itkt,2763854,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28767,https://doi.org/10.15454/PDD081,RE99003,VIRTUAL_TRIAL,,,,,,,,treated,2000,85,,1,,140,,"10,5",,"101,4",,1,,"99,4",,2,,2,,1,
Chargeritknt,2763835,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,86,,1,,144,,,,"103,9",,4,,"54,9",,1,,9,,"1,5",
Chargeritkfi,2763834,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"83,5",,1,,141,,"10,6",,"108,8",,3,,"60,9",,1,,,,1,
RE99016itkfi,2763813,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26874,https://doi.org/10.15454/M7F6IJ,RE99016,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,91,,1,,141,,"10,3",,"125,1",,2,,70,,4,,,,1,
Chargeritkt,2763836,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2000,"83,5",,1,,144,,"10,7",,"90,1",,1,,"88,3",,1,,3,,2,
RE99003itkfi,2763852,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28767,https://doi.org/10.15454/PDD081,RE99003,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"87,5",,2,,136,,"9,8",,"136,7",,2,,"76,5",,3,,,,1,
EM99002itkt,2763842,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28763,https://doi.org/10.15454/HUTRYE,EM99002,VIRTUAL_TRIAL,,,,,,,,treated,2000,"93,5",,1,,144,,"10,7",,"100,5",,1,,"98,5",,3,,3,,2,
Tremieitkfi,2763873,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"88,5",,3,,133,,10,,"92,5",,2,,"51,8",,4,,,,3,
EM99027itkt,2763809,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26866,https://doi.org/10.15454/OANUO1,EM99027,VIRTUAL_TRIAL,,,,,,,,treated,2000,110,,2,,133,,"9,5",,97,,1,,"95,1",,1,,2,,4,
Isengrainitknt,2763883,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,80,,3,,135,,,,"113,4",,9,,"59,9",,3,,4,,"1,5",
Isengrainitkt,2763884,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2000,80,,3,,135,,"9,1",,"100,5",,6,,"98,6",,2,,3,,"2,5",
EM99002itkfi,2763840,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28763,https://doi.org/10.15454/HUTRYE,EM99002,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,92,,6,,144,,"10,9",,"110,6",,2,,62,,3,,,,1,
Tremieitkt,2763875,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,treated,2000,85,,2,,133,,"9,6",,"105,2",,1,,"103,2",,2,,4,,"5,5",
Tremieitknt,2763874,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,"82,5",,3,,133,,,,"88,1",,1,,"46,5",,3,,7,,"4,5",
EM99027itknt,2763808,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26866,https://doi.org/10.15454/OANUO1,EM99027,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,110,,5,,133,,,,"129,6",,7,,"68,5",,3,,5,,3,
HA1066.146itkfi,2763783,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,48543,gnpis_pui:holding-921_taxon-4898_accession-48543,HA1066.146,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,100,,2,,140,,"10,8",,"114,4",,6,,"64,1",,6,,,,"1,5",
EM99002itknt,2763841,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28763,https://doi.org/10.15454/HUTRYE,EM99002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,90,,2,,144,,,,"137,5",,1,,"72,6",,3,,6,,1,
Isengrainitkfi,2763882,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"82,5",,1,,135,,9,,107,,8,,"59,9",,3,,,,1,
CF9825itkt,2763794,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28761,https://doi.org/10.15454/PFN7OE,CF9825,VIRTUAL_TRIAL,,,,,,,,treated,2000,"81,5",,2,,144,,"10,5",,"99,6",,3,,"97,7",,1,,2,,1,
Voltigeitknt,2763820,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,89,,3,,144,,,,"139,1",,1,,"73,4",,3,,5,,"1,5",
Voltigeitkfi,2763819,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,95,,2,,141,,"10,4",,"133,6",,1,,"74,8",,2,,,,1,
Voltigeitkt,2763821,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,treated,2000,93,,1,,144,,10,,"114,7",,1,,"112,4",,1,,2,,1,
RE99004itkt,2763824,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28768,https://doi.org/10.15454/WOEZF0,RE99004,VIRTUAL_TRIAL,,,,,,,,treated,2000,86,,2,,143,,"9,7",,"98,8",,1,,"96,9",,1,,2,,2,
RE99004itknt,2763823,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28768,https://doi.org/10.15454/WOEZF0,RE99004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,"83,5",,1,,143,,,,"128,8",,3,,68,,5,,7,,1,
RE99004itkfi,2763822,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28768,https://doi.org/10.15454/WOEZF0,RE99004,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,90,,2,,140,,"9,9",,"119,9",,2,,"67,1",,4,,,,"1,5",
HA1070.50itknt,2763787,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,48987,gnpis_pui:holding-921_taxon-4898_accession-48987,HA1070.50,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,100,,1,,147,,,,"151,6",,3,,80,,4,,6,,2,
CF9825itknt,2763793,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28761,https://doi.org/10.15454/PFN7OE,CF9825,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,85,,1,,144,,,,"104,1",,7,,"54,9",,1,,7,,1,
