observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Caphornitkt,2840255,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2009,88,,"42,4",,138,,"11,54",,75,,"94,3",,"83,4",,,,,,2,
Caphornitknt,2840254,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,86,,"36,4",,137,,,,"71,6",,"89,8",,62,,1,,"6,5",,4,
Caphornitkfi,2840253,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,82,,36,,139,,"11,07",,"70,3",,"94,3",,"67,6",,1,,,,1,
RE07089itknt,2840287,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,48646,https://doi.org/10.15454/TXCHAY,RE07089,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,91,,"36,5",,136,,,,"70,6",,110,,76,,1,,5,,1,
AO09002itkt,2840237,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27771,https://doi.org/10.15454/DLZRR4,AO09002,VIRTUAL_TRIAL,,,,,,,,treated,2009,92,,"41,4",,144,,"9,88",,"73,8",,"86,2",,"76,2",,,,,,1,
RE07019itknt,2840218,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,90,,"40,4",,138,,,,77,,"120,6",,"83,3",,1,,"2,5",,1,
RE07089itkfi,2840286,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,48646,https://doi.org/10.15454/TXCHAY,RE07089,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,92,,"39,1",,138,,"11,86",,"72,9",,"105,7",,"75,8",,1,,,,1,
AO09002itknt,2840236,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27771,https://doi.org/10.15454/DLZRR4,AO09002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,90,,"35,8",,144,,,,"68,2",,"91,6",,"63,3",,1,,5,,1,
RE07093itkfi,2840241,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,95,,44,,137,,"10,72",,77,,"114,4",,"81,9",,1,,,,1,
AO09002itkfi,2840235,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27771,https://doi.org/10.15454/DLZRR4,AO09002,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,85,,"37,3",,144,,"9,86",,"69,5",,"81,5",,"58,4",,1,,,,1,
CF07143itknt,2840257,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,100,,"48,3",,139,,,,"76,2",,"133,6",,"92,3",,1,,2,,"1,5",
CF07311itkfi,2840232,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27837,https://doi.org/10.15454/CYACZC,CF07311,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,90,,"43,2",,138,,"10,86",,"76,4",,"104,4",,"74,8",,1,,,,1,
Attlassitkt,2840276,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2009,95,,"40,4",,141,,"11,67",,"78,2",,"104,3",,"92,3",,,,,,"2,5",
CF07002itknt,2840293,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,94,,"40,8",,139,,,,"76,5",,"115,9",,"80,1",,1,,"2,5",,1,
Attlassitknt,2840275,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,96,,"37,3",,140,,,,"74,8",,"118,7",,82,,1,,"3,5",,"1,5",
RE07093itkt,2840243,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,treated,2009,98,,"47,1",,136,,"10,92",,"78,6",,"109,8",,"97,1",,,,,,4,
CF07002itkt,2840294,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,treated,2009,95,,"45,6",,139,,"11,98",,"80,1",,"104,8",,"92,7",,,,,,"1,5",
CF07002itkfi,2840292,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,92,,46,,140,,"11,44",,"77,1",,"110,1",,"78,9",,1,,,,1,
RE07093itknt,2840242,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,95,,"39,3",,136,,,,76,,"124,1",,"85,7",,1,,3,,"1,5",
Attlassitkfi,2840274,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,94,,"41,5",,141,,"11,14",,"76,3",,"114,5",,"82,1",,1,,,,1,
Sankaraitkt,2840252,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2009,91,,"40,8",,140,,"11,67",,"77,8",,"97,2",,86,,,,,,2,
RE07012itkt,2840198,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27269,https://doi.org/10.15454/N0JGJL,RE07012,VIRTUAL_TRIAL,,,,,,,,treated,2009,92,,"44,9",,139,,"12,08",,"75,6",,"93,7",,"82,9",,,,,,7,
AO09005itkfi,2840205,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27774,https://doi.org/10.15454/SE9ESL,AO09005,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,"33,2",,134,,"11,97",,"67,5",,"62,4",,"44,7",,"7,5",,,,1,
CF07143itkfi,2840256,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,98,,"50,7",,141,,"10,93",,77,,"123,6",,"88,5",,1,,,,1,
AO09005itkt,2840207,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27774,https://doi.org/10.15454/SE9ESL,AO09005,VIRTUAL_TRIAL,,,,,,,,treated,2009,84,,"44,9",,132,,"11,44",,"77,3",,"97,7",,"86,4",,,,,,1,
CF07193itkfi,2840226,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27793,https://doi.org/10.15454/0F480I,CF07193,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,85,,43,,142,,"11,19",,"71,4",,"93,5",,67,,1,,,,1,
CF07267itkfi,2840283,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27794,https://doi.org/10.15454/LNBBQV,CF07267,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,91,,"43,2",,138,,"10,58",,"75,8",,112,,"80,3",,1,,,,1,
CF07311itkt,2840234,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27837,https://doi.org/10.15454/CYACZC,CF07311,VIRTUAL_TRIAL,,,,,,,,treated,2009,95,,"48,4",,138,,"11,16",,"79,3",,"104,8",,"92,7",,,,,,4,
CF07311itknt,2840233,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27837,https://doi.org/10.15454/CYACZC,CF07311,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,96,,"43,1",,136,,,,"77,9",,"119,9",,"82,8",,1,,4,,1,
AO09005itknt,2840206,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27774,https://doi.org/10.15454/SE9ESL,AO09005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,80,,30,,132,,,,"65,3",,"63,2",,"43,6",,8,,NA,,2,
